"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","scenario"
"C-PCA","Wasserstein",5,0.918181506849315,0.0802899543378995,0.916818211646201,0.0853090369203763,0.23,0.038,1,"I"
"C-PCA","Wasserstein",10,0.918877562975981,0.0630392501464557,0.913679799313554,0.0769389268362778,0.328,0.073,1,"I"
"C-PCA","Wasserstein",20,0.922907544836116,0.0463840445269017,0.909778007471534,0.0689955357595173,0.437833333333333,0.098,1,"I"
"C-PCA","Wasserstein",40,0.930168754349339,0.0298086290883786,0.903938787712439,0.0618356008058949,0.569333333333333,0.111166666666667,1,"I"
"V-PCA","Wasserstein",5,0.91823401826484,0.0797648401826484,0.915895038183593,0.0867421315549868,0.232666666666667,0.04,1,"I"
"V-PCA","Wasserstein",10,0.91873345049795,0.063079086115993,0.912896832944853,0.0781535984210857,0.325333333333333,0.0703333333333333,1,"I"
"V-PCA","Wasserstein",20,0.92237136672851,0.0468800247371676,0.908944692994662,0.0701624038168488,0.436166666666667,0.0965,1,"I"
"V-PCA","Wasserstein",40,0.930046624913013,0.0293549060542798,0.903256638000393,0.0626534862247603,0.569666666666667,0.110833333333333,1,"I"
"MR-PCA","Wasserstein",5,0.747832191780822,0.258568493150685,0.758535940153062,0.257060232464667,0.0953333333333333,0.016,1,"I"
"MR-PCA","Wasserstein",10,0.740836555360281,0.231093145869947,0.750188563034141,0.244583847046974,0.148666666666667,0.0323333333333333,1,"I"
"MR-PCA","Wasserstein",20,0.735660482374768,0.200512059369202,0.741134772895816,0.23055912282041,0.213333333333333,0.051,1,"I"
"MR-PCA","Wasserstein",40,0.725753827418232,0.15937543493389,0.728510753499727,0.213539934760305,0.305083333333333,0.0763333333333333,1,"I"
"SPCA","Wasserstein",5,0.918181506849315,0.0802899543378995,0.916818211646201,0.0853090369203763,0.23,0.038,1,"I"
"SPCA","Wasserstein",10,0.918877562975981,0.0630392501464557,0.913679799313554,0.0769389268362778,0.328,0.073,1,"I"
"SPCA","Wasserstein",20,0.922907544836116,0.0463840445269017,0.909778007471534,0.0689955357595173,0.437833333333333,0.098,1,"I"
"SPCA","Wasserstein",40,0.930168754349339,0.0298086290883786,0.903938787712439,0.0618356008058949,0.569333333333333,0.111166666666667,1,"I"
"IMDS","Wasserstein",5,0.59833904109589,-0.0855502283105023,0.598951079065876,-0.0986830556717605,0.0326666666666667,-0.00333333333333333,1,"I"
"IMDS","Wasserstein",10,0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,1,"I"
"IMDS","Wasserstein",20,0.58465182436611,-0.061191094619666,0.585557251984893,-0.0830503946117627,0.0981666666666667,-0.0085,1,"I"
"IMDS","Wasserstein",40,0.594941196938065,-0.0392171189979124,0.580255826290566,-0.0737610079635365,0.17975,-0.015,1,"I"
"Int-UMAP","Wasserstein",5,0.870051369863014,0.0152945205479452,0.875996628688141,0.0216767149806006,0.231333333333333,0.0206666666666667,1,"I"
"Int-UMAP","Wasserstein",10,0.857821323960164,0.00907205623901575,0.866098635628768,0.0174674781077775,0.259,0.0123333333333333,1,"I"
"Int-UMAP","Wasserstein",20,0.852103586889301,0.000645021645021671,0.85664997276926,0.0133249322003088,0.334833333333333,0.0223333333333333,1,"I"
"Int-UMAP","Wasserstein",40,0.859044363256785,-0.00713048016701456,0.8480900897833,0.00987504379942344,0.442,0.02525,1,"I"
"C-PCA","Centers-Euclidean",5,0.836924657534247,0.168648401826484,0.839407477586108,0.169978508912239,0.134666666666667,0.00933333333333333,1,"I"
"C-PCA","Centers-Euclidean",10,0.834595196250732,0.143400117164616,0.834302520033105,0.158415359412255,0.206,0.047,1,"I"
"C-PCA","Centers-Euclidean",20,0.831582869511441,0.119472479901051,0.82731619771014,0.146824863739377,0.2885,0.07,1,"I"
"C-PCA","Centers-Euclidean",40,0.834268093249826,0.0936739735560195,0.818552226461597,0.135373009042123,0.407,0.088,1,"I"
"V-PCA","Centers-Euclidean",5,0.839447488584475,0.163287671232877,0.841927266612529,0.164308142825504,0.136666666666667,0.0133333333333333,1,"I"
"V-PCA","Centers-Euclidean",10,0.835171060339777,0.142171060339777,0.835799802819933,0.154946204567718,0.206666666666667,0.0486666666666667,1,"I"
"V-PCA","Centers-Euclidean",20,0.831628014842301,0.119430426716141,0.828346783028417,0.144362447304467,0.286666666666667,0.0673333333333333,1,"I"
"V-PCA","Centers-Euclidean",40,0.834453027139875,0.0930285316631873,0.819473683064475,0.133068056059131,0.407416666666667,0.08925,1,"I"
"MR-PCA","Centers-Euclidean",5,0.836924657534247,0.168648401826484,0.839407477586108,0.169978508912239,0.134666666666667,0.00933333333333333,1,"I"
"MR-PCA","Centers-Euclidean",10,0.834595196250732,0.143400117164616,0.834302520033105,0.158415359412255,0.206,0.047,1,"I"
"MR-PCA","Centers-Euclidean",20,0.831582869511441,0.119472479901051,0.82731619771014,0.146824863739377,0.2885,0.07,1,"I"
"MR-PCA","Centers-Euclidean",40,0.834268093249826,0.0936739735560195,0.818552226461597,0.135373009042123,0.407,0.088,1,"I"
"SPCA","Centers-Euclidean",5,0.836924657534247,0.168648401826484,0.839407477586108,0.169978508912239,0.134666666666667,0.00933333333333333,1,"I"
"SPCA","Centers-Euclidean",10,0.834595196250732,0.143400117164616,0.834302520033105,0.158415359412255,0.206,0.047,1,"I"
"SPCA","Centers-Euclidean",20,0.831582869511441,0.119472479901051,0.82731619771014,0.146824863739377,0.2885,0.07,1,"I"
"SPCA","Centers-Euclidean",40,0.834268093249826,0.0936739735560195,0.818552226461597,0.135373009042123,0.407,0.088,1,"I"
"IMDS","Centers-Euclidean",5,0.508681506849315,-0.0114817351598173,0.499814167712512,-0.0100362559572148,0.02,-0.000666666666666667,1,"I"
"IMDS","Centers-Euclidean",10,0.511109548916227,-0.00274868189806665,0.500676117769495,-0.00687672853030075,0.0313333333333333,-0.00233333333333333,1,"I"
"IMDS","Centers-Euclidean",20,0.516146567717996,0.00512801484230052,0.500075195541986,-0.00349333607925911,0.0648333333333333,-0.003,1,"I"
"IMDS","Centers-Euclidean",40,0.533194328462074,0.00579088378566461,0.499325489966514,-0.00220210366761081,0.134666666666667,-0.00408333333333333,1,"I"
"Int-UMAP","Centers-Euclidean",5,0.623673515981735,-0.110168949771689,0.628107840965951,-0.118993610092609,0.104,0.006,1,"I"
"Int-UMAP","Centers-Euclidean",10,0.610858816637376,-0.0976988869361453,0.61882869068229,-0.111347800369152,0.124666666666667,-0.00366666666666667,1,"I"
"Int-UMAP","Centers-Euclidean",20,0.609793135435993,-0.0952634508348795,0.612469793468888,-0.107182161520237,0.1625,-0.0025,1,"I"
"Int-UMAP","Centers-Euclidean",40,0.606828983994433,-0.0862800974251914,0.603657894985296,-0.101962228978793,0.2345,-0.0119166666666667,1,"I"
"C-PCA","Int-Euclidean",5,0.936208904109589,0.0591940639269406,0.933691053309381,0.062016717113304,0.266,0.0253333333333333,2,"I"
