"IDR","Metric","col","frac","cp_lo","cp_hi","qc"
"Int-UMAP","Int-Euclidean","Q_TC",1,0.862814828469287,1,0.567601514964801
"Int-UMAP","Int-Euclidean","B_TC",0.64,0.425206349553849,0.820283179416345,NA
"Int-UMAP","Int-Euclidean","Q_RE",1,0.862814828469287,1,0.59709817784394
"Int-UMAP","Int-Euclidean","B_RE",0.64,0.425206349553849,0.820283179416345,NA
"Int-UMAP","Int-Euclidean","Q_LC",1,0.862814828469287,1,0.257944420991926
"Int-UMAP","Int-Euclidean","B_LC",0.84,0.639171545540728,0.95462054762829,NA
"MR-PCA","Int-Euclidean","Q_TC",1,0.862814828469287,1,0.797789522963847
"MR-PCA","Int-Euclidean","B_TC",1,0.862814828469287,1,NA
"MR-PCA","Int-Euclidean","Q_RE",1,0.862814828469287,1,0.788522848546576
"MR-PCA","Int-Euclidean","B_RE",1,0.862814828469287,1,NA
"MR-PCA","Int-Euclidean","Q_LC",1,0.862814828469287,1,0.275013079123414
"MR-PCA","Int-Euclidean","B_LC",1,0.862814828469287,1,NA
"SPCA","Int-Euclidean","Q_TC",1,0.862814828469287,1,0.845830529974148
"SPCA","Int-Euclidean","B_TC",0.68,0.464999282502628,0.85050457738643,NA
"SPCA","Int-Euclidean","Q_RE",1,0.862814828469287,1,0.829617848912568
"SPCA","Int-Euclidean","B_RE",0.76,0.548711982183314,0.906435560668257,NA
"SPCA","Int-Euclidean","Q_LC",1,0.862814828469287,1,0.329570474509804
"SPCA","Int-Euclidean","B_LC",1,0.862814828469287,1,NA
"V-PCA","Int-Euclidean","Q_TC",1,0.862814828469287,1,0.845724541056358
"V-PCA","Int-Euclidean","B_TC",0.68,0.464999282502628,0.85050457738643,NA
"V-PCA","Int-Euclidean","Q_RE",1,0.862814828469287,1,0.829545179674472
"V-PCA","Int-Euclidean","B_RE",0.8,0.592962567721323,0.931688535987516,NA
"V-PCA","Int-Euclidean","Q_LC",1,0.862814828469287,1,0.329445356632065
"V-PCA","Int-Euclidean","B_LC",1,0.862814828469287,1,NA
"C-PCA","Wasserstein","Q_TC",1,0.862814828469287,1,0.81176364109613
