"level","Method","Metric","index","primary","mean_qc_diff","mcse","n_rep"
"L1","V-PCA","Wasserstein","Q_LC",FALSE,0.00471778546712802,0.00145250445731519,25
"L1","V-PCA","CR-Euclidean","Q_TC",FALSE,0.0174521910670962,0.00119449388672559,25
"L1","V-PCA","CR-Euclidean","Q_RE",FALSE,0.0190282323019529,0.00119813545901964,25
"L1","V-PCA","CR-Euclidean","Q_LC",FALSE,0.0209955247981546,0.0016765803877677,25
"L1","MR-PCA","Int-Euclidean","Q_TC",FALSE,-0.00541375158095694,0.000472996610241765,25
"L1","MR-PCA","Int-Euclidean","Q_RE",FALSE,-0.00704791266904594,0.000360538931007984,25
"L1","MR-PCA","Int-Euclidean","Q_LC",FALSE,-0.00649730103806229,0.00118777979209234,25
"L1","MR-PCA","Hausdorff","Q_TC",FALSE,-0.0192940681700673,0.00204852408951561,25
"L1","MR-PCA","Hausdorff","Q_RE",FALSE,-0.0121454330962883,0.00220146151437309,25
"L1","MR-PCA","Hausdorff","Q_LC",FALSE,-0.0126911188004614,0.00192251309040999,25
"L1","MR-PCA","Ichino-Yaguchi","Q_TC",FALSE,-0.000883764228612329,0.000175473507177562,25
"L1","MR-PCA","Ichino-Yaguchi","Q_RE",FALSE,-0.00169473732314904,0.000314599001983505,25
"L1","MR-PCA","Ichino-Yaguchi","Q_LC",FALSE,0.000234509803921574,0.000422243103032027,25
"L1","MR-PCA","Wasserstein","Q_TC",TRUE,-0.000592220498747165,0.00016070706161317,25
"L1","MR-PCA","Wasserstein","Q_RE",FALSE,-0.00071652927222952,0.000232205291012891,25
"L1","MR-PCA","Wasserstein","Q_LC",FALSE,-0.000206920415224908,0.000477447238564496,25
"L1","MR-PCA","CR-Euclidean","Q_TC",FALSE,-0.00488160935449232,0.000404645370275203,25
"L1","MR-PCA","CR-Euclidean","Q_RE",FALSE,-0.00480020080005205,0.000650223686683541,25
"L1","MR-PCA","CR-Euclidean","Q_LC",FALSE,-0.00389010380622837,0.000852578328640217,25
"L1","SPCA","Int-Euclidean","Q_TC",FALSE,0.006876892972199,0.00225372129566731,25
"L1","SPCA","Int-Euclidean","Q_RE",FALSE,0.0136094634233416,0.0024316002421941,25
"L1","SPCA","Int-Euclidean","Q_LC",FALSE,0.0225681199538639,0.00206384026033944,25
