"scenario","Method","Metric","K","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"IV","SPCA","Ichino-Yaguchi",40,0.918657168545581,0.0189598887079195,0.00379197774158391,0.883516325678497,0.951122222686152,0.044272359638135,0.0127723153798769,0.00255446307597538,0.0244583674321503,0.0675231718858733,0.896049103378764,0.0163976957857874,0.00327953915715747,0.869305522614481,0.925535363363602,0.0670712218216518,0.0151128970982529,0.00302257941965059,0.0419980122423698,0.0935898454868984,0.561816733333333,0.0414337880592059,0.00828675761184117,0.496833666666667,0.639263666666667,0.0981230666666666,0.00936471643002684,0.00187294328600537,0.079685,0.115519666666667
"I","V-PCA","Ichino-Yaguchi",40,0.925072324286708,0.00499959860087481,0.000999919720174961,0.91499509394572,0.93527860125261,0.018382282533055,0.00348658650758977,0.000697317301517954,0.0118141962421712,0.0236149617258177,0.907100756064569,0.00393839077883253,0.000787678155766507,0.898588832028005,0.914604393222322,0.0551061248376237,0.003388087556157,0.0006776175112314,0.0504253319981139,0.0624323183547476,0.581546666666667,0.0140955543622014,0.00281911087244029,0.5542,0.608683333333333,0.120636666666667,0.00730834917013366,0.00146166983402673,0.107833333333333,0.13355
"II","V-PCA","Ichino-Yaguchi",40,0.895985873901285,0.00354178011752132,0.000708356023504263,0.88991040821501,0.901969079614604,0.0783247870182556,0.00437277138002088,0.000874554276004175,0.0705694895199459,0.0853175202839757,0.905754425467025,0.00358599535664147,0.000717199071328295,0.899240719830556,0.911794229474066,0.10957673137033,0.00549793996528223,0.00109958799305645,0.0994328131562896,0.118607688324902,0.41574875,0.00813086467028312,0.00162617293405662,0.4017375,0.4302,0.10295875,0.00750834886871774,0.00150166977374355,0.09073125,0.116475
"III","V-PCA","Ichino-Yaguchi",40,0.785315681003584,0.0162176471343626,0.00324352942687253,0.759263620071684,0.817701164874552,0.0548096415770609,0.0120544857985075,0.00241089715970151,0.0314091397849462,0.0745806451612903,0.777120146002017,0.0114242843163927,0.00228485686327853,0.76042549790256,0.798646923862127,0.109220308357694,0.0117646508620584,0.00235293017241168,0.0935367727926521,0.12943409763847,0.44635,0.019669866441675,0.003933973288335,0.4156,0.486225,0.063565,0.0112501226845162,0.00225002453690325,0.044325,0.086775
"IV","V-PCA","Ichino-Yaguchi",40,0.918650292693111,0.0189935773553028,0.00379871547106057,0.883344106471816,0.951125920668058,0.0442328676409186,0.0127803176005751,0.00255606352011502,0.024343422407794,0.0675378803061935,0.895996046893859,0.0165237199921871,0.00330474399843742,0.869190480601895,0.925619913142753,0.0671084774122364,0.0153350191774474,0.00306700383548947,0.0418378601737187,0.0944543681756521,0.561741533333333,0.0415326538783153,0.00830653077566305,0.496262333333333,0.638814666666667,0.0979762666666666,0.00946465042691502,0.001892930085383,0.0791906666666667,0.114997
"I","C-PCA","Int-Euclidean",40,0.940347070285317,0.00587588608781917,0.00117517721756383,0.930092553931802,0.951896416144746,0.0283457759220598,0.00439669470064862,0.000879338940129724,0.0210006263048017,0.0361632567849687,0.91436277593103,0.00503231618206571,0.00100646323641314,0.904653964747203,0.923907464564847,0.0527967859430784,0.00476174753537478,0.000952349507074957,0.0439708673713322,0.0602302392726185,0.602333333333333,0.017304111987232,0.0034608223974464,0.573466666666667,0.641583333333333,0.10902,0.00718800441064186,0.00143760088212837,0.09485,0.123083333333333
"II","C-PCA","Int-Euclidean",40,0.896414011156187,0.00353274931432002,0.000706549862864003,0.890322832150101,0.902327125591616,0.0787865990534145,0.00431543151552772,0.000863086303105545,0.0709717714672075,0.0857619421906694,0.906081635748357,0.00353505741738432,0.000707011483476863,0.899566172171146,0.91199771268014,0.110105239727082,0.00547391907281577,0.00109478381456315,0.100227473885781,0.119331753941006,0.41640875,0.00813763000728201,0.0016275260014564,0.40225,0.4307125,0.10791375,0.0074503143722122,0.00149006287444244,0.095525,0.12124375
"III","C-PCA","Int-Euclidean",40,0.989679928315412,0.00778080173726239,0.00155616034745248,0.97085582437276,0.997726344086021,0.00125591397849462,0.00249964161828334,0.000499928323656668,-0.00220304659498209,0.0063245519713262,0.982249446890971,0.00685633714027009,0.00137126742805402,0.968229678196255,0.990038245396021,0.00113853943322138,0.00149027417434511,0.000298054834869021,-0.00125710320939532,0.00428132664111483,0.871495,0.0479918271036851,0.00959836542073701,0.76975,0.934875,0.04194,0.0452071637713538,0.00904143275427075,-0.0239,0.1319
"IV","C-PCA","Int-Euclidean",40,0.929006942101601,0.0167382194069327,0.00334764388138654,0.898229434237996,0.958236568545581,0.0301508506610995,0.0109514173462273,0.00219028346924545,0.0150511329157968,0.0541636270006959,0.90667145136211,0.015631386979888,0.0031262773959776,0.877944140915084,0.935663500091627,0.0489590529580953,0.0154507751245409,0.00309015502490817,0.0246912936438991,0.0831643905765306,0.5853448,0.0387225090665288,0.00774450181330575,0.521,0.660433333333333,0.0742096666666667,0.00811431238671886,0.00162286247734377,0.0616386666666667,0.089888
"I","IMDS","Int-Euclidean",40,0.54718369519833,0.0404928520737186,0.00809857041474373,0.475444154488518,0.614793041057759,-0.0450636186499652,0.0241065389845172,0.00482130779690344,-0.0946469728601254,-0.00742296450939467,0.506903773563541,0.0336434204801559,0.00672868409603118,0.446813229948068,0.563835769213414,-0.0510011460913138,0.0234686485720261,0.00469372971440522,-0.101344092201568,-0.0168731090092358,0.123426666666667,0.0148215137053716,0.00296430274107432,0.10155,0.149933333333333,-0.01088,0.00491260896590109,0.000982521793180218,-0.0196333333333333,-0.00195
