"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"C-PCA","Hausdorff",0.909837396430848,0.131003027405991,0.911020997287343,0.140537724370801,0.344375,0.09725,FALSE,0,3,"raw","std"
"C-PCA","Ichino-Yaguchi",0.910320905035054,0.131625239005736,0.911214774144582,0.141445667707477,0.347875,0.109625,FALSE,0,3,"raw","std"
"C-PCA","Wasserstein",0.910313256851498,0.131629063097514,0.911172978187005,0.141506304142035,0.348,0.10875,FALSE,0,3,"raw","std"
"C-PCA","Centers-Euclidean",0.910323773103888,0.13160707456979,0.911183273053019,0.141478855999567,0.347875,0.109,FALSE,0,3,"raw","std"
"V-PCA","Int-Euclidean",0.910712635436584,0.13216586998088,0.91176640086008,0.141845639576095,0.349375,0.119375,FALSE,0,3,"raw","std"
"V-PCA","Hausdorff",0.909837157425112,0.131002549394519,0.911018264436184,0.140542313633007,0.344375,0.09725,FALSE,0,3,"raw","std"
"V-PCA","Ichino-Yaguchi",0.910295092415551,0.131676864244742,0.911213284622882,0.141448993914989,0.34775,0.1095,FALSE,0,3,"raw","std"
"V-PCA","Wasserstein",0.910314690885915,0.13162746972594,0.911144884549593,0.14156334823836,0.348,0.108875,FALSE,0,3,"raw","std"
"V-PCA","Centers-Euclidean",0.910297880815806,0.131658540471638,0.911181738749708,0.141482092643857,0.34775,0.108875,FALSE,0,3,"raw","std"
"MR-PCA","Int-Euclidean",0.914129222434672,0.126608986615679,0.91837840218698,0.129759520186783,0.36725,0.10325,FALSE,0,3,"raw","std"
"MR-PCA","Hausdorff",0.913695108349267,0.125278043339707,0.917332786955023,0.129498266397192,0.36275,0.0895,FALSE,0,3,"raw","std"
"MR-PCA","Ichino-Yaguchi",0.913631851497769,0.126308317399618,0.917640174014519,0.129723681463023,0.364625,0.09275,FALSE,0,3,"raw","std"
"MR-PCA","Wasserstein",0.913606835564054,0.126360579987253,0.917641656072617,0.129707357925859,0.3645,0.0915,FALSE,0,3,"raw","std"
"MR-PCA","Centers-Euclidean",0.913626195028681,0.126318992989165,0.917730378680985,0.129531144416688,0.364375,0.091625,FALSE,0,3,"raw","std"
"SPCA","Int-Euclidean",0.913959687699171,0.126751752708732,0.91767548239605,0.130922174719595,0.364375,0.10025,FALSE,0,3,"raw","std"
