"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity"
"ScenarioII",87,"IMDS","Ichino-Yaguchi",0.63790160930529,-0.0512066602931803,0.648612604364612,-0.0639025867308929,0.053875,-0.003125,0.63790160930529,-0.0512066602931803,0.648612604364612,-0.0639025867308929,0.053875,-0.003125,0,0,0,1.11022302462516e-16
"ScenarioII",87,"IMDS","Wasserstein",0.629462555768005,-0.0774898024219248,0.640556456199063,-0.0881990437292011,0.05625,-0.002125,0.629462555768005,-0.0774898024219248,0.640556456199063,-0.0881990437292011,0.05625,-0.002125,0,0,0,1.11022302462516e-16
"ScenarioII",87,"IMDS","Centers-Euclidean",0.622972833014659,-0.102153760356915,0.634286622423287,-0.11746976750752,0.05575,-0.004125,0.622972833014659,-0.102153760356915,0.634286622423287,-0.11746976750752,0.05575,-0.004125,0,0,0,3.33066907387547e-16
"ScenarioII",88,"IMDS","Int-Euclidean",0.585935468451243,-0.0740809432759719,0.587536912842701,-0.0827111154442651,0.037,-0.004875,0.585935468451243,-0.0740809432759719,0.587536912842701,-0.0827111154442651,0.037,-0.004875,0,0,0,2.22044604925031e-16
"ScenarioII",88,"IMDS","Hausdorff",0.626286249203314,-0.029343371574251,0.636657123598613,-0.0481547440530447,0.056625,-0.005875,0.626286249203314,-0.029343371574251,0.636657123598613,-0.0481547440530447,0.056625,-0.005875,0,0,0,3.33066907387547e-16
"ScenarioII",88,"IMDS","Ichino-Yaguchi",0.640114802421925,-0.0351929572976418,0.647477835874455,-0.0508984112507786,0.058875,-0.004625,0.640114802421925,-0.0351929572976418,0.647477835874455,-0.0508984112507786,0.058875,-0.004625,0,0,0,2.22044604925031e-16
"ScenarioII",88,"IMDS","Wasserstein",0.628735022307202,-0.0551688973868706,0.63586753752827,-0.0714335924525328,0.057375,-0.004625,0.628735022307202,-0.0551688973868706,0.63586753752827,-0.0714335924525328,0.057375,-0.004625,0,0,0,1.11022302462516e-16
"ScenarioII",88,"IMDS","Centers-Euclidean",0.617783699808795,-0.0734345124282983,0.625404390427585,-0.0921670113997776,0.05275,-0.0095,0.617783699808795,-0.0734345124282983,0.625404390427585,-0.0921670113997776,0.05275,-0.0095,0,0,0,3.33066907387547e-16
"ScenarioII",89,"IMDS","Int-Euclidean",0.588072578075207,-0.0885536966220523,0.593602163105377,-0.105849312691825,0.041,-0.0025,0.588072613129382,-0.088553626513703,0.593602202513195,-0.105849233876189,0.041,-0.0025,7.88156364339709e-08,0,1.79126446453459e-07,2.91433543964104e-16
"ScenarioII",89,"IMDS","Hausdorff",0.635517049075844,-0.0284862970044614,0.642240558479582,-0.0493260258699532,0.055125,-0.0035,0.635517092096877,-0.0284862109623964,0.642240572988824,-0.0493259968514689,0.055125,-0.0035,8.60420649728688e-08,0,1.59337157357164e-07,4.44089209850063e-16
"ScenarioII",89,"IMDS","Ichino-Yaguchi",0.644776210962396,-0.0275266093052901,0.649191344639965,-0.0417702075103112,0.053875,-0.004125,0.644776210962396,-0.0275266093052901,0.649191344639965,-0.0417702075103112,0.053875,-0.004125,0,0,0,4.44089209850063e-16
"ScenarioII",89,"IMDS","Wasserstein",0.634670411089866,-0.0535211918419376,0.63982113200749,-0.0727237080334459,0.058875,-0.0035,0.634670411089866,-0.0535211918419376,0.63982113200749,-0.0727237080334459,0.058875,-0.0035,0,0,0,4.44089209850063e-16
"ScenarioII",89,"IMDS","Centers-Euclidean",0.626680130656469,-0.0892831421287443,0.631908488435511,-0.111128601102634,0.058875,-0.00675,0.626680092415551,-0.0892832186105799,0.631908472314131,-0.111128633345395,0.058875,-0.00675,7.64818355869501e-08,0,1.59337157468187e-07,3.33066907387547e-16
"ScenarioII",90,"IMDS","Int-Euclidean",0.591734623964308,-0.080560707456979,0.597866488124514,-0.0994077672383188,0.043375,-0.00225,0.591734623964308,-0.080560707456979,0.597866488124514,-0.0994077672383188,0.043375,-0.00225,0,0,0,4.44089209850063e-16
"ScenarioII",90,"IMDS","Hausdorff",0.615183954748247,-0.0245849267049076,0.629207883661979,-0.0471393736818213,0.0565,0.003375,0.615183954748247,-0.0245849267049076,0.629207883661979,-0.0471393736818213,0.0565,0.003375,0,0,0,2.22044604925031e-16
"ScenarioII",90,"IMDS","Ichino-Yaguchi",0.627455066921606,-0.0286924792861695,0.637682064226726,-0.048785421401789,0.059625,-5e-04,0.627455066921606,-0.0286924792861695,0.637682064226726,-0.048785421401789,0.059625,-5e-04,0,0,0,4.44089209850063e-16
"ScenarioII",90,"IMDS","Wasserstein",0.619386870618228,-0.0481102613129383,0.630287936273122,-0.0696321444369894,0.058125,-0.000124999999999997,0.619386835564054,-0.0481103314212875,0.630287906717259,-0.0696322035487167,0.058125,-0.000124999999999997,7.01083492371524e-08,0,1.59337157357164e-07,4.44089209850063e-16
"ScenarioII",90,"IMDS","Centers-Euclidean",0.620595124282983,-0.0842960484384959,0.630209289314118,-0.106180374829766,0.059125,0,0.620595124282983,-0.0842960484384959,0.630209289314118,-0.106180374829766,0.059125,0,0,0,0,2.22044604925031e-16
"ScenarioII",91,"IMDS","Int-Euclidean",0.596351975780752,-0.0851414913957935,0.601114370572698,-0.0945184884935142,0.040875,-0.002,0.596351975780752,-0.0851414913957935,0.601114370572698,-0.0945184884935142,0.040875,-0.002,0,0,0,1.11022302462516e-16
"ScenarioII",91,"IMDS","Hausdorff",0.633637667304015,-0.0393454429572977,0.64225003000368,-0.0511973078233391,0.051,0.001125,0.633637667304015,-0.0393454429572977,0.64225003000368,-0.0511973078233391,0.051,0.001125,0,0,0,2.22044604925031e-16
"ScenarioII",91,"IMDS","Ichino-Yaguchi",0.63710643722116,-0.0355124282982791,0.64591389790492,-0.0466828628961061,0.05,5e-04,0.63710643722116,-0.0355124282982791,0.64591389790492,-0.0466828628961061,0.05,5e-04,0,0,0,1.11022302462516e-16
"ScenarioII",91,"IMDS","Wasserstein",0.630072179732314,-0.0593030592734226,0.638111081128756,-0.0692647618530955,0.0525,0.001375,0.630072179732314,-0.0593030592734226,0.638111081128756,-0.0692647618530955,0.0525,0.001375,0,0,0,3.33066907387547e-16
"ScenarioII",91,"IMDS","Centers-Euclidean",0.626579349904398,-0.0841073932441044,0.633638927529022,-0.0927624176850005,0.048125,-0.00325,0.626579349904398,-0.0841073932441044,0.633638927529022,-0.0927624176850005,0.048125,-0.00325,0,0,0,3.33066907387547e-16
"ScenarioII",92,"IMDS","Int-Euclidean",0.544894040790312,-0.0335162523900573,0.548888516988267,-0.0474273966393491,0.028125,-0.003875,0.544894040790312,-0.0335162523900573,0.548888516988267,-0.0474273966393491,0.028125,-0.003875,0,0,0,2.22044604925031e-16
"ScenarioII",92,"IMDS","Hausdorff",0.594843212237094,-0.00757934990439768,0.605940792887861,-0.0351465243669117,0.042125,-0.001,0.594843212237094,-0.00757934990439768,0.605940792887861,-0.0351465243669117,0.042125,-0.001,0,0,0,3.33066907387547e-16
"ScenarioII",92,"IMDS","Ichino-Yaguchi",0.603827119184194,0.00760261312938182,0.614751337946607,-0.0123225765343332,0.043,-0.001,0.603827119184194,0.00760261312938182,0.614751337946607,-0.0123225765343332,0.043,-0.001,0,0,0,2.22044604925031e-16
"ScenarioII",92,"IMDS","Wasserstein",0.592469327597196,-0.0152503186743148,0.604384573668822,-0.0407976089093059,0.04325,-0.00325,0.592469327597196,-0.0152503186743148,0.604384573668822,-0.0407976089093059,0.04325,-0.00325,0,0,0,2.22044604925031e-16
"ScenarioII",92,"IMDS","Centers-Euclidean",0.584413718929254,-0.0595256532823455,0.601729835714606,-0.101092781144502,0.043625,-0.008,0.584413718929254,-0.0595256532823455,0.601729835714606,-0.101092781144502,0.043625,-0.008,0,0,0,2.22044604925031e-16
"ScenarioII",93,"IMDS","Int-Euclidean",0.591551465901848,-0.0718664754620778,0.601511439846524,-0.0885927960717058,0.045375,-0.003375,0.591551419694073,-0.0718665678776291,0.601511408678523,-0.0885928584077091,0.045375,-0.003375,9.24155512671554e-08,0,1.59337157357164e-07,4.44089209850063e-16
"ScenarioII",93,"IMDS","Hausdorff",0.632345522625876,-0.0306464308476737,0.646434726067043,-0.0518227578785355,0.058,-0.0055,0.632345568833652,-0.0306463384321224,0.646434803987048,-0.0518226020385272,0.058,-0.0055,1.55840008349284e-07,0,2.68689669569167e-07,4.44089209850063e-16
"ScenarioII",93,"IMDS","Ichino-Yaguchi",0.638137906309751,-0.0342557361376672,0.648189568366679,-0.0505673770480337,0.058,-0.005625,0.638137906309751,-0.0342557361376672,0.648189568366679,-0.0505673770480337,0.058,-0.005625,0,0,0,4.44089209850063e-16
"ScenarioII",93,"IMDS","Wasserstein",0.628814451880178,-0.0518143722115998,0.63976372955165,-0.0714085832019313,0.05775,-0.008,0.628814451880178,-0.0518143722115998,0.63976372955165,-0.0714085832019313,0.05775,-0.008,0,0,0,4.44089209850063e-16
"ScenarioII",93,"IMDS","Centers-Euclidean",0.622444471000637,-0.073658540471638,0.636680968953804,-0.0961423300785205,0.057875,-0.009,0.622444426386233,-0.0736586297004462,0.636680893720697,-0.0961424805447355,0.057875,-0.009,1.50466214959843e-07,0,2.68689669569167e-07,3.33066907387547e-16
"ScenarioII",94,"IMDS","Int-Euclidean",0.566996414913958,-0.0451967813894201,0.575015707683382,-0.057169997480288,0.042875,-0.001125,0.566996414913958,-0.0451967813894201,0.575015707683382,-0.057169997480288,0.042875,-0.001125,0,0,0,4.44089209850063e-16
"ScenarioII",94,"IMDS","Hausdorff",0.60280074888464,0.000162683237731054,0.617442045024371,-0.0210529353194874,0.04775,-0.00125,0.60280074888464,0.000162683237731054,0.617442045024371,-0.0210529353194874,0.04775,-0.00125,0,0,0,4.44089209850063e-16
"ScenarioII",94,"IMDS","Ichino-Yaguchi",0.612207616316125,0.00966857871255578,0.625325848598745,-0.0123818684543145,0.047875,-0.005125,0.612207616316125,0.00966857871255578,0.625325848598745,-0.0123818684543145,0.047875,-0.005125,0,0,0,6.93889390390723e-18
"ScenarioII",94,"IMDS","Wasserstein",0.602164993626514,-0.0139867750159337,0.617520464450139,-0.0389850220009925,0.04925,-0.00575,0.602164993626514,-0.0139867750159337,0.617520464450139,-0.0389850220009925,0.04925,-0.00575,0,0,0,3.33066907387547e-16
"ScenarioII",94,"IMDS","Centers-Euclidean",0.598457217973231,-0.0544128425748884,0.61260624693246,-0.0765043533697353,0.052125,-0.0095,0.598457217973231,-0.0544128425748884,0.61260624693246,-0.0765043533697353,0.052125,-0.0095,0,0,0,4.44089209850063e-16
