"Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","replication","max_abs_mean_delta"
"SPCA","Ichino-Yaguchi",0.895461980082015,0.0783119390743995,0.89416568491135,0.0877993945816625,0.30002,0.06086,0.895462835383714,0.0783129466900996,0.894162292797048,0.0878071387965599,0.300026666666667,0.0608733333333333,1,1.33333333333305e-05
"SPCA","Int-Euclidean",0.913537527826596,0.0484538957234915,0.90157773076508,0.0743324736257844,0.324666666666667,0.0554733333333333,0.913537680140598,0.0484536848271821,0.901577724839238,0.0743322290389867,0.324666666666667,0.05546,1,1.33333333333374e-05
"SPCA","Wasserstein",0.893770380785003,0.0814506854130053,0.894120700744553,0.0874907853628035,0.289333333333333,0.0534733333333333,0.893770462800234,0.081450474516696,0.894120554640325,0.0874907754454628,0.289333333333333,0.0534933333333333,1,1.99999999999992e-05
"V-PCA","Centers-Euclidean",0.886759449326303,0.091372114821324,0.885169037816846,0.100959368716747,0.278,0.0634933333333333,0.88675935559461,0.0913719273579379,0.88516899883832,0.100957845407082,0.278,0.06352,1,2.66666666666748e-05
"V-PCA","Hausdorff",0.906820773286467,0.0714707205623901,0.908025520449295,0.0765606307674287,0.319,0.05184,0.906820480374927,0.0714705565319274,0.908024901306341,0.0765595856086799,0.319,0.05178,1,5.99999999999976e-05
"V-PCA","Ichino-Yaguchi",0.895820445225542,0.0775221323960164,0.894324377836555,0.0873381472964577,0.299673333333333,0.0585266666666667,0.895819683655536,0.0775195313415348,0.894329847019647,0.0873162690288974,0.299686666666667,0.05838,1,0.00014666666666667
"V-PCA","Int-Euclidean",0.913569220855302,0.0482706268306971,0.901686260629862,0.0740144575790359,0.324,0.0561733333333333,0.913569478617458,0.0482706268306971,0.901686140270805,0.074014418155304,0.324,0.0561666666666667,1,6.66666666666871e-06
"V-PCA","Wasserstein",0.893843210310486,0.0810502636203866,0.893870966908475,0.0877883414445205,0.290333333333333,0.05436,0.893842964264792,0.0810497715289982,0.893870258386639,0.0877879016427016,0.290333333333333,0.0543666666666667,1,6.66666666666177e-06
"C-PCA","Centers-Euclidean",0.921299789103691,0.0612805389572349,0.915921361567971,0.0736841765452437,0.351333333333333,0.075,0.921299753954306,0.061280093731693,0.915921308910884,0.0736837055483223,0.351333333333333,0.075,26,4.70996921478339e-07
"C-PCA","Hausdorff",0.93488654950205,0.0496236438195664,0.933566915168204,0.0539916411863166,0.402,0.0615666666666667,0.934886666666667,0.0496233157586408,0.933566782850001,0.0539908890343228,0.402,0.0615466666666667,26,2.00000000000061e-05
"C-PCA","Ichino-Yaguchi",0.926135946104277,0.0541474633860574,0.923411690149732,0.0627359932991937,0.363153333333333,0.0730266666666667,0.926136016403046,0.0541455418863503,0.923412907188583,0.0627329804540883,0.36316,0.073,26,2.66666666666748e-05
"C-PCA","Int-Euclidean",0.938423936731107,0.0350013591095489,0.933758859125097,0.0430204285242982,0.381,0.0673333333333333,0.93842396016403,0.0350014059753954,0.933758884471118,0.0430203807184177,0.381,0.0673333333333333,26,4.78058804972981e-08
"C-PCA","Wasserstein",0.925498148799063,0.0552142237844171,0.922782002575131,0.0633792266101593,0.362333333333333,0.0756666666666667,0.925498008201523,0.0552141300527241,0.922781736633812,0.0633783716617057,0.362333333333333,0.0756666666666667,26,8.54948453629656e-07
"IMDS","Centers-Euclidean",0.559393274751025,-0.0200714235500879,0.560629698873614,-0.0279075911408979,0.0573333333333333,-0.00266666666666667,0.559454223784417,-0.0199479320445226,0.560666639447712,-0.0278310578563223,0.0573333333333333,-0.00266666666666667,26,0.000123491505565329
"IMDS","Hausdorff",0.565228178090217,-0.00426209724663152,0.565453557584977,-0.0242227155613054,0.0583333333333333,0.000299999999999999,0.565357457527827,-0.00400321031048621,0.565582134432776,-0.0239630886713112,0.0583333333333333,0.00034,26,0.000259626889994126
"IMDS","Ichino-Yaguchi",0.564808295254833,-0.0136209958992384,0.571697585035439,-0.0232384911334215,0.061,0.000666666666666666,0.564874563561804,-0.0134880843585237,0.571778410609528,-0.023074383862184,0.061,0.000666666666666666,26,0.000164107271237588
"IMDS","Int-Euclidean",0.557365600468658,-0.0314622612770943,0.561367016030322,-0.0506505908723928,0.0586666666666667,-0.00966666666666667,0.556699039250146,-0.0298528178090217,0.561073346241228,-0.0499402490050804,0.0577466666666667,-0.01086,26,0.00160944346807264
"IMDS","Wasserstein",0.561435700058582,-0.0113878148799063,0.56564764519194,-0.0243816471167635,0.0586666666666667,-0.00348666666666667,0.561514258933802,-0.0112291036906854,0.565723322821873,-0.0242275307218795,0.0586666666666667,-0.00351333333333333,26,0.000158711189220867
"Int-UMAP","Centers-Euclidean",0.76873445811365,0.0673789338019918,0.791730010502249,0.080433525585434,0.264,0.0367866666666667,0.768734633860574,0.0673793321616872,0.791729136287135,0.0804339218799102,0.264,0.0368066666666667,26,1.99999999999992e-05
"Int-UMAP","Hausdorff",0.770797270064441,0.0382613473930873,0.802428771786486,0.0396800407071524,0.287333333333333,0.0142733333333333,0.77079741066198,0.0382614879906269,0.802428186648036,0.0396791017529897,0.287333333333333,0.0143133333333333,26,3.99999999999984e-05
"Int-UMAP","Ichino-Yaguchi",0.782016637375513,0.0508906854130053,0.81423350621131,0.0568728530300776,0.303,0.0207533333333333,0.782016871704745,0.0508909666080843,0.814232779911951,0.0568725785991465,0.303,0.02078,26,2.66666666666644e-05
"Int-UMAP","Int-Euclidean",0.742843198594025,0.0964295957820738,0.753689742982752,0.120287804695323,0.246666666666667,0.035,0.742843046280023,0.0964302753368483,0.753689310902949,0.120287269987932,0.246666666666667,0.035,26,6.79554774465907e-07
"Int-UMAP","Wasserstein",0.775412782659637,0.0538894200351494,0.805426435300943,0.0585650617001362,0.29282,0.0191866666666667,0.775412911540715,0.0538900527240773,0.805425396114091,0.0585634260758204,0.292886666666667,0.0191266666666667,26,6.66666666666593e-05
"MR-PCA","Centers-Euclidean",0.921299789103691,0.0612800702987698,0.915921036337535,0.0736842653100482,0.351333333333333,0.075,0.921299671939074,0.0612800234329232,0.915921069973593,0.0736832933799602,0.351333333333333,0.075,26,9.71930087967365e-07
"MR-PCA","Hausdorff",0.928504592852958,0.0512582308142941,0.927550102512449,0.0553337867676577,0.383873333333333,0.066,0.928504124194493,0.0512590275336848,0.927550029406604,0.0553334744481867,0.38386,0.066,26,1.33333333333652e-05
"MR-PCA","Ichino-Yaguchi",0.922329970708846,0.0588765084944347,0.919440639880329,0.0669785460902266,0.352,0.069,0.92232985354423,0.0588762741652021,0.91944085092318,0.0669769912170128,0.352,0.069,26,1.55487321386316e-06
"MR-PCA","Int-Euclidean",0.919718066783831,0.0605733801991798,0.912075958554727,0.076711279685433,0.339666666666667,0.071,0.919717867603984,0.0605735442296426,0.912075885556345,0.0767104811706392,0.339666666666667,0.071,26,7.98514793801108e-07
"MR-PCA","Wasserstein",0.922057574692443,0.0600797656707674,0.91872305684985,0.0687115499713456,0.352,0.0698333333333333,0.922057281780902,0.060079367311072,0.918723132120317,0.0687110422219264,0.352,0.06982,26,1.33333333333374e-05
"SPCA","Centers-Euclidean",0.921299753954306,0.06128,0.915920795419847,0.0736842669373517,0.351333333333333,0.075,0.921299449326303,0.061279906268307,0.91592112966186,0.0736833188027406,0.351333333333333,0.075,26,9.48134611170048e-07
"SPCA","Hausdorff",0.934886772114821,0.0496232923257176,0.933566534471279,0.0539913097690565,0.402,0.0614533333333333,0.93488661980082,0.0496232688927943,0.933566391483491,0.0539909280589047,0.402,0.0614533333333333,26,3.81710151750592e-07
"SPCA","Ichino-Yaguchi",0.926137375512595,0.0541431985940246,0.923410363129722,0.0627331617909735,0.363173333333333,0.07302,0.926138289396602,0.0541460105448155,0.923409357502169,0.0627367701370758,0.363173333333333,0.07302,26,3.60834610228788e-06
"SPCA","Int-Euclidean",0.938423784417106,0.0350010544815466,0.933758316096965,0.0430204753169519,0.381,0.0673333333333333,0.938423831282953,0.0350011482132396,0.933758564966948,0.0430200515118341,0.381,0.0673333333333333,26,4.23805117805154e-07
"SPCA","Wasserstein",0.925497937902753,0.0552136145284124,0.922781466931272,0.0633790432775245,0.362333333333333,0.0756666666666667,0.925497926186292,0.0552136848271822,0.922781389803224,0.0633781378826601,0.362333333333333,0.0756666666666667,26,9.05394864442188e-07
"V-PCA","Centers-Euclidean",0.921539906268307,0.0608150673696544,0.915368940715949,0.0748004708434023,0.353,0.078,0.921540011716462,0.0608154188635032,0.915369116004178,0.0748000785097215,0.353,0.078,26,3.92333680737655e-07
"V-PCA","Hausdorff",0.934248248388987,0.0507287639132982,0.933248552674665,0.0544867764543911,0.400333333333333,0.05784,0.934248154657293,0.0507292325717633,0.933248403714981,0.0544866955497699,0.400333333333333,0.0578266666666667,26,1.33333333333374e-05
"V-PCA","Ichino-Yaguchi",0.92632373755126,0.0536828353837141,0.923013488719332,0.0634426243309825,0.364506666666667,0.0727133333333333,0.926322694786175,0.0536837024018746,0.923011367053213,0.0634493528321146,0.364493333333333,0.07266,26,5.33333333333358e-05
"V-PCA","Int-Euclidean",0.938565940246046,0.0346631751611013,0.933762043865657,0.0431285387443327,0.382333333333333,0.0666666666666667,0.938565729349736,0.0346630345635618,0.933762007665828,0.043128166675187,0.382333333333333,0.0666666666666667,26,3.72069145666842e-07
"V-PCA","Wasserstein",0.92561489162273,0.0548973637961336,0.922580338841449,0.0637023071326712,0.364,0.0776666666666667,0.925615114235501,0.0548972466315173,0.922580628271206,0.0637015424535102,0.364,0.0776666666666667,26,7.64679160991655e-07
"C-PCA","Centers-Euclidean",0.872811833626245,0.110693427065026,0.874535629259102,0.11487436344413,0.273666666666667,0.04486,0.872812173403632,0.110693731693029,0.874535284623839,0.114874142591401,0.273666666666667,0.0448,34,6.00000000000045e-05
"C-PCA","Hausdorff",0.894589818394845,0.0889397305213826,0.896558526955593,0.0929453951223571,0.323333333333333,0.05184,0.894590087873462,0.0889400351493849,0.896557392126276,0.0929456328621983,0.323333333333333,0.0518666666666667,34,2.66666666666679e-05
"C-PCA","Ichino-Yaguchi",0.878810661980082,0.102479390743995,0.880463244278378,0.106240408465479,0.285766666666667,0.0461666666666667,0.878819484475688,0.102465120093732,0.880463433675021,0.106242179555141,0.285806666666667,0.0461533333333333,34,3.99999999999845e-05
"C-PCA","Int-Euclidean",0.894047252489748,0.0798357117750439,0.881747710468306,0.109616859601928,0.313666666666667,0.0616533333333333,0.894047018160516,0.0798347744581137,0.881747165966389,0.109615723068548,0.313666666666667,0.0617066666666667,34,5.33333333333427e-05
"C-PCA","Wasserstein",0.879366818980668,0.101804569420035,0.880508229550513,0.108081066092628,0.289333333333333,0.0504533333333333,0.879367205623902,0.101805155243117,0.88050868700704,0.108080893844079,0.289333333333333,0.05062,34,0.000166666666666676
