"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"C-PCA","Int-Euclidean",0.001,0.217,0.001,0.361,0.001,0.001,4,"minP"
"C-PCA","Hausdorff",0.001,0.014,0.001,0.015,0.001,0.001,4,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.007,0.001,0.006,0.001,0.001,4,"minP"
"C-PCA","Wasserstein",0.001,0.007,0.001,0.015,0.001,0.001,4,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.006,0.001,0.001,4,"minP"
"V-PCA","Int-Euclidean",0.001,0.204,0.001,0.385,0.001,0.001,4,"minP"
"V-PCA","Hausdorff",0.001,0.006,0.001,0.005,0.001,0.001,4,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.006,0.001,0.005,0.001,0.001,4,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.005,0.001,0.001,4,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.016,0.001,0.001,4,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"SPCA","Int-Euclidean",0.001,0.196,0.001,0.348,0.001,0.001,4,"minP"
"SPCA","Hausdorff",0.001,0.006,0.001,0.023,0.001,0.001,4,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.011,0.001,0.001,4,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.007,0.001,0.001,4,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"IMDS","Int-Euclidean",0.001,0.099,0.001,0.001,0.001,1,4,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.986,4,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.959,4,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.953,4,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.969,4,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"Int-UMAP","Hausdorff",0.001,0.001,0.001,0.03,0.001,0.053,4,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.059,0.001,0.001,4,"minP"
"Int-UMAP","Wasserstein",0.001,0.001,0.001,0.067,0.001,0.001,4,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"minP"
"C-PCA","Int-Euclidean",0.001,0.12,0.001,0.035,0.001,0.001,5,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Int-Euclidean",0.001,0.081,0.001,0.016,0.001,0.001,5,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
