"scenario","rep","Method","Metric","cell_index","Q_TC_u50","B_TC_u50","Q_RE_u50","B_RE_u50","Q_LC_u50","B_LC_u50","Q_TC_u500","B_TC_u500","Q_RE_u500","B_RE_u500","Q_LC_u500","B_LC_u500","Q_TC_pri","B_TC_pri","Q_RE_pri","B_RE_pri","Q_LC_pri","B_LC_pri","d50_500","d50_pri","equivariant"
"S1",7,"IMDS","Wasserstein",16,0.53232396016403,-0.0236332747510252,0.539557694282776,-0.0378626227251716,0.0406666666666667,-0.00766666666666667,0.53232396016403,-0.0236332747510252,0.539557694282776,-0.0378626227251716,0.0406666666666667,-0.00766666666666667,0.53232396016403,-0.0236332747510252,0.539557694282776,-0.0378626227251716,0.0406666666666667,-0.00766666666666667,0,0,TRUE
"S1",8,"IMDS","Centers-Euclidean",17,0.505140597539543,-0.00177270064440538,0.500754602927949,-0.00866981135406553,0.0273333333333333,0.000666666666666666,0.505140597539543,-0.00177270064440538,0.500754602927949,-0.00866981135406553,0.0273333333333333,0.000666666666666666,0.505140597539543,-0.00177270064440538,0.500754602927949,-0.00866981135406553,0.0273333333333333,0.000666666666666666,0,0,TRUE
"S1",8,"IMDS","Hausdorff",18,0.581318101933216,-0.0944815465729351,0.58504787189375,-0.111475878371646,0.0563333333333333,-0.003,0.581318101933216,-0.0944815465729351,0.58504787189375,-0.111475878371646,0.0563333333333333,-0.003,0.581318101933216,-0.0944815465729351,0.58504787189375,-0.111475878371646,0.0563333333333333,-0.003,0,0,TRUE
"S1",8,"IMDS","Int-Euclidean",19,0.491732009373169,-0.075427603983597,0.483795882246471,-0.0692365962765759,0.0316666666666667,-0.000333333333333333,0.491732,-0.0754276227299356,0.483795874509103,-0.0692366117513118,0.0316666666666667,-0.000333333333333333,0.491731693028705,-0.075428236672525,0.483795621110303,-0.069237118548912,0.0316666666666667,-0.000333333333333333,1.87463386064346e-08,6.32688927942882e-07,TRUE
"S1",9,"IMDS","Centers-Euclidean",20,0.5090820152314,-0.0165213825424722,0.507052669982988,-0.0260716922406635,0.0356666666666667,-0.000333333333333335,0.5090820152314,-0.0165213825424722,0.507052669982988,-0.0260716922406635,0.0356666666666667,-0.000333333333333335,0.5090820152314,-0.0165213825424722,0.507052669982988,-0.0260716922406635,0.0356666666666667,-0.000333333333333335,0,0,TRUE
"S1",9,"IMDS","Hausdorff",21,0.59136086701816,-0.0793919156414762,0.597201965107234,-0.111067386794554,0.055,-0.00366666666666667,0.59136086701816,-0.0793919156414762,0.597201965107234,-0.111067386794554,0.055,-0.00366666666666667,0.59136086701816,-0.0793919156414762,0.597201965107234,-0.111067386794554,0.055,-0.00366666666666667,0,0,TRUE
"S1",9,"IMDS","Ichino-Yaguchi",22,0.581638547158758,-0.065758640890451,0.582238470439033,-0.0946066507897105,0.052,-0.00733333333333333,0.581638547158758,-0.065758640890451,0.582238470439033,-0.0946066507897105,0.052,-0.00733333333333333,0.581638547158758,-0.065758640890451,0.582238470439033,-0.0946066507897105,0.052,-0.00733333333333333,0,0,TRUE
"S1",9,"IMDS","Int-Euclidean",23,0.52211482132396,-0.0329607498535442,0.510754939902604,-0.0142059364955527,0.0196666666666667,-0.003,0.52211482132396,-0.0329607498535442,0.510754939902604,-0.0142059364955527,0.0196666666666667,-0.003,0.52211482132396,-0.0329607498535442,0.510754939902604,-0.0142059364955527,0.0196666666666667,-0.003,0,0,TRUE
"S1",9,"IMDS","Wasserstein",24,0.57684827182191,-0.0652677211482133,0.580884569984263,-0.0946500245707488,0.052,-0.00566666666666667,0.57684827182191,-0.0652677211482133,0.580884569984263,-0.0946500245707488,0.052,-0.00566666666666667,0.57684827182191,-0.0652677211482133,0.580884569984263,-0.0946500245707488,0.052,-0.00566666666666667,0,0,TRUE
"S2",1,"IMDS","Centers-Euclidean",27,0.621484464627151,-0.0800492351816444,0.630254755444634,-0.0971764044494327,0.05525,-0.010125,NA,NA,NA,NA,NA,NA,0.621484464627151,-0.0800492351816444,0.630254755444634,-0.0971764044494327,0.05525,-0.010125,NA,0,TRUE
