"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","level","rep"
"IMDS","Centers-Euclidean",0.51116813122437,-0.00911540714704162,0.505034739860939,-0.00581963212806941,0.0373333333333333,0.00366666666666667,FALSE,0,"L3",2
"Int-UMAP","Int-Euclidean",0.781743995313415,-0.0977867603983597,0.786605001072332,-0.0893520706593634,0.173,0.00266666666666668,FALSE,0,"L3",2
"Int-UMAP","Hausdorff",0.902572349150557,-0.00384417106033985,0.903375134310115,0.00110537665706713,0.291333333333333,0.00633333333333333,FALSE,0,"L3",2
"Int-UMAP","Ichino-Yaguchi",0.871958406561218,0.0251142355008788,0.879933977530622,0.0316425280744408,0.298666666666667,0.0106666666666667,FALSE,0,"L3",2
"Int-UMAP","Wasserstein",0.852158172231986,0.0111353251318101,0.864465932015862,0.0196141786039362,0.272,0.00833333333333333,FALSE,0,"L3",2
"Int-UMAP","Centers-Euclidean",0.601982425307557,-0.0833930872876392,0.612676092285307,-0.0956875795133533,0.120666666666667,-0.013,FALSE,0,"L3",2
"C-PCA","CR-Euclidean",0.943941417691857,0.0457574692442883,0.935380749889121,0.0561748295130847,0.380333333333333,0.0856666666666667,FALSE,0,"L3",2
"V-PCA","CR-Euclidean",0.944314001171646,0.0449888693614527,0.935741004196755,0.0553564278414447,0.378666666666667,0.084,FALSE,0,"L3",2
"MR-PCA","CR-Euclidean",0.737347978910369,0.228943175161101,0.745920158806407,0.254633587269451,0.138333333333333,0.02,FALSE,0,"L3",2
"SPCA","CR-Euclidean",0.943941417691857,0.0457574692442883,0.935380749889121,0.0561748295130847,0.380333333333333,0.0856666666666667,FALSE,0,"L3",2
"IMDS","CR-Euclidean",0.586746924428823,-0.088448740480375,0.585242577998886,-0.10205039636356,0.0626666666666667,-0.00066666666666667,FALSE,0,"L3",2
"Int-UMAP","CR-Euclidean",0.888302284710018,0.0103128295254833,0.8926092254603,0.0162915056442103,0.301666666666667,0.0126666666666667,FALSE,0,"L3",2
"C-PCA","Int-Euclidean",0.934613356766257,0.0522331575864089,0.92710563871435,0.0631088391292206,0.373,0.0763333333333333,FALSE,0,"L3",3
"C-PCA","Hausdorff",0.949100175746924,0.032241359109549,0.941533628458653,0.0390930530563908,0.384333333333333,0.0603333333333333,FALSE,0,"L3",3
"C-PCA","Ichino-Yaguchi",0.926312243702402,0.0591435266549502,0.922410943125279,0.0677359509585969,0.361,0.0606666666666666,FALSE,0,"L3",3
"C-PCA","Wasserstein",0.923294669009959,0.0574364381956649,0.918923131091738,0.0686072154333471,0.343,0.0663333333333333,FALSE,0,"L3",3
"C-PCA","Centers-Euclidean",0.841231400117165,0.136787346221441,0.838968443820338,0.15377494514375,0.224,0.04,FALSE,0,"L3",3
"V-PCA","Int-Euclidean",0.934125951962507,0.0532173403632102,0.926373152530695,0.0645748554271265,0.370666666666667,0.074,FALSE,0,"L3",3
"V-PCA","Hausdorff",0.948956063268893,0.0326654950205039,0.941075060452025,0.0401942831597261,0.381333333333333,0.0553333333333333,FALSE,0,"L3",3
"V-PCA","Ichino-Yaguchi",0.926568834212068,0.0588318687756297,0.921189131362239,0.0701774252158058,0.362,0.061,FALSE,0,"L3",3
"V-PCA","Wasserstein",0.923333333333333,0.0572794376098418,0.918158754363592,0.070066261959338,0.342333333333333,0.0676666666666667,FALSE,0,"L3",3
"V-PCA","Centers-Euclidean",0.840555360281195,0.138291739894552,0.838308561474386,0.154919915939024,0.225333333333333,0.039,FALSE,0,"L3",3
"MR-PCA","Int-Euclidean",0.737714118336262,0.223329818394845,0.742147162588966,0.253463646575455,0.146666666666667,0.026,FALSE,0,"L3",3
"MR-PCA","Hausdorff",0.752144112478032,0.200777973052138,0.769014032115911,0.207501393570585,0.165333333333333,0.0356666666666667,FALSE,0,"L3",3
"MR-PCA","Ichino-Yaguchi",0.720019332161687,0.262206209724663,0.729415417288995,0.281022545369915,0.151333333333333,0.038,FALSE,0,"L3",3
"MR-PCA","Wasserstein",0.748770943175161,0.234458113649678,0.752349613738004,0.255778806765837,0.166333333333333,0.037,FALSE,0,"L3",3
"MR-PCA","Centers-Euclidean",0.841231400117165,0.136787346221441,0.838968443820338,0.15377494514375,0.224,0.04,FALSE,0,"L3",3
"SPCA","Int-Euclidean",0.934613356766257,0.0522331575864089,0.92710563871435,0.0631088391292206,0.373,0.0763333333333333,FALSE,0,"L3",3
"SPCA","Hausdorff",0.949100175746924,0.032241359109549,0.941533628458653,0.0390930530563908,0.384333333333333,0.0603333333333333,FALSE,0,"L3",3
"SPCA","Ichino-Yaguchi",0.926312243702402,0.0591435266549502,0.922410943125279,0.0677359509585969,0.361,0.0606666666666666,FALSE,0,"L3",3
"SPCA","Wasserstein",0.923294669009959,0.0574364381956649,0.918923131091738,0.0686072154333471,0.343,0.0663333333333333,FALSE,0,"L3",3
"SPCA","Centers-Euclidean",0.841231400117165,0.136787346221441,0.838968443820338,0.15377494514375,0.224,0.04,FALSE,0,"L3",3
"IMDS","Int-Euclidean",0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,TRUE,0,"L3",3
"IMDS","Hausdorff",0.585106303456356,-0.107692489748096,0.589978275650795,-0.122642412167441,0.0553333333333333,0.00133333333333333,TRUE,1.17164616286747e-06,"L3",3
"IMDS","Ichino-Yaguchi",0.567551845342706,-0.0837715289982425,0.575312136783156,-0.098946681705408,0.0566666666666667,-0.000999999999999997,FALSE,0,"L3",3
"IMDS","Wasserstein",0.562031634446397,-0.0844405389572349,0.570987846959161,-0.0957645494372523,0.053,0.00333333333333333,FALSE,0,"L3",3
"IMDS","Centers-Euclidean",0.49965553602812,-0.00461628588166385,0.499502160245496,-0.0079800203965617,0.0376666666666667,0.003,FALSE,0,"L3",3
"Int-UMAP","Int-Euclidean",0.765707088459285,-0.105534856473345,0.773837394453627,-0.0971991541705872,0.157333333333333,-0.00133333333333333,FALSE,0,"L3",3
"Int-UMAP","Hausdorff",0.897288810779145,-0.00124897480960751,0.898201847204484,0.00609287789097772,0.26,0.00833333333333333,FALSE,0,"L3",3
"Int-UMAP","Ichino-Yaguchi",0.860701230228471,0.0333181019332163,0.869445437201971,0.041267084576647,0.256666666666667,0.0153333333333333,FALSE,0,"L3",3
"Int-UMAP","Wasserstein",0.845132981839484,0.0116321031048623,0.855405978467703,0.0218287591518555,0.235333333333333,0.0186666666666667,FALSE,0,"L3",3
"Int-UMAP","Centers-Euclidean",0.576084358523726,-0.075575864089045,0.59171850319389,-0.0737876642098989,0.101333333333333,0.001,FALSE,0,"L3",3
"C-PCA","CR-Euclidean",0.939911540714704,0.0489572349150557,0.933183394196022,0.056334888636401,0.372333333333333,0.066,FALSE,0,"L3",3
"V-PCA","CR-Euclidean",0.94011072056239,0.0486596367896895,0.93279939200254,0.0571380612028875,0.374666666666667,0.0646666666666667,FALSE,0,"L3",3
"MR-PCA","CR-Euclidean",0.734336848271822,0.226384299941418,0.747103099506697,0.242073499468747,0.150333333333333,0.0403333333333333,FALSE,0,"L3",3
"SPCA","CR-Euclidean",0.939911540714704,0.0489572349150557,0.933183394196022,0.056334888636401,0.372333333333333,0.066,FALSE,0,"L3",3
"IMDS","CR-Euclidean",0.574365553602812,-0.0880445225541886,0.581092225434356,-0.10602697516658,0.0576666666666667,-0.000999999999999997,TRUE,0,"L3",3
"Int-UMAP","CR-Euclidean",0.879534856473345,0.0203561804335091,0.883434523982233,0.026875547967613,0.261666666666667,0.019,FALSE,0,"L3",3
"C-PCA","Int-Euclidean",0.918959578207381,0.0640632688927943,0.914410022624125,0.0725104780695513,0.305333333333333,0.0483333333333333,FALSE,0,"L3",4
"C-PCA","Hausdorff",0.942033977738723,0.0334247217340363,0.933939942979897,0.041428646652982,0.335666666666667,0.0513333333333333,FALSE,0,"L3",4
"C-PCA","Ichino-Yaguchi",0.917425307557118,0.0682261277094317,0.913448700713235,0.0762758866002758,0.33,0.047,FALSE,0,"L3",4
"C-PCA","Wasserstein",0.911915641476274,0.063219683655536,0.908674267248996,0.0740907280080284,0.313333333333333,0.055,FALSE,0,"L3",4
"C-PCA","Centers-Euclidean",0.820990041007616,0.146249560632689,0.822768012677002,0.168837053640992,0.202333333333333,0.057,FALSE,0,"L3",4
"V-PCA","Int-Euclidean",0.919615700058582,0.0627346221441125,0.913488239584528,0.0742767625808605,0.309666666666667,0.0536666666666667,FALSE,0,"L3",4
"V-PCA","Hausdorff",0.94208611599297,0.0332735793790275,0.933903736242952,0.0415448223114988,0.336333333333333,0.05,FALSE,0,"L3",4
"V-PCA","Ichino-Yaguchi",0.917023432923257,0.0690415934387816,0.913303798541046,0.076403820294717,0.328666666666667,0.0506666666666667,FALSE,0,"L3",4
"V-PCA","Wasserstein",0.911591095489162,0.0637469244288225,0.908701097032888,0.0738798187183818,0.312333333333333,0.0563333333333333,FALSE,0,"L3",4
"V-PCA","Centers-Euclidean",0.821240773286467,0.1457129466901,0.823321906898892,0.16777465161503,0.203,0.059,FALSE,0,"L3",4
"MR-PCA","Int-Euclidean",0.722341534856473,0.212950205038078,0.72975649167473,0.244244829050992,0.132333333333333,0.028,FALSE,0,"L3",4
"MR-PCA","Hausdorff",0.730565905096661,0.197867603983597,0.750461571609878,0.20611292442879,0.139333333333333,0.018,FALSE,0,"L3",4
"MR-PCA","Ichino-Yaguchi",0.706957820738137,0.252055067369654,0.716014424971557,0.275647623069822,0.133666666666667,0.0233333333333333,FALSE,0,"L3",4
"MR-PCA","Wasserstein",0.73410661980082,0.227472759226714,0.740315156505921,0.249177221495821,0.145666666666667,0.035,FALSE,0,"L3",4
"MR-PCA","Centers-Euclidean",0.820990041007616,0.146249560632689,0.822768012677002,0.168837053640992,0.202333333333333,0.057,FALSE,0,"L3",4
"SPCA","Int-Euclidean",0.918959578207381,0.0640632688927943,0.914410022624125,0.0725104780695513,0.305333333333333,0.0483333333333333,FALSE,0,"L3",4
"SPCA","Hausdorff",0.942033977738723,0.0334247217340363,0.933939942979897,0.041428646652982,0.335666666666667,0.0513333333333333,FALSE,0,"L3",4
"SPCA","Ichino-Yaguchi",0.917425307557118,0.0682261277094317,0.913448700713235,0.0762758866002758,0.33,0.047,FALSE,0,"L3",4
"SPCA","Wasserstein",0.911915641476274,0.063219683655536,0.908674267248996,0.0740907280080284,0.313333333333333,0.055,FALSE,0,"L3",4
"SPCA","Centers-Euclidean",0.820990041007616,0.146249560632689,0.822768012677002,0.168837053640992,0.202333333333333,0.057,FALSE,0,"L3",4
"IMDS","Int-Euclidean",0.506559191564148,-0.0661856590509666,0.494767711165283,-0.0609482721643736,0.0263333333333333,-0.00333333333333333,TRUE,1.17164616286747e-06,"L3",4
"IMDS","Hausdorff",0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,TRUE,0,"L3",4
"IMDS","Ichino-Yaguchi",0.567401288810779,-0.0659402460456943,0.574320036574415,-0.0933025895773049,0.0543333333333333,-0.00466666666666667,FALSE,0,"L3",4
"IMDS","Wasserstein",0.558103104862332,-0.0791728178090217,0.566645299096094,-0.107534082414943,0.0496666666666667,-0.00666666666666666,FALSE,0,"L3",4
"IMDS","Centers-Euclidean",0.504792032806093,-0.00719859402460465,0.503134249628061,-0.0256211425421216,0.036,-0.002,FALSE,0,"L3",4
"Int-UMAP","Int-Euclidean",0.796636789689514,-0.0759074399531341,0.791044385012043,-0.0587371725109125,0.172333333333333,0.0146666666666667,FALSE,0,"L3",4
"Int-UMAP","Hausdorff",0.905906268306971,-0.00599414176918578,0.905943361699077,-0.000503476979718434,0.286666666666667,-0.000333333333333338,FALSE,0,"L3",4
