"Method","Metric","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"SPCA","Hausdorff",0.919816811950791,0.0138578642501128,0.00138578642501128,0.892523830404218,0.943402854715876,0.0629698221441125,0.013338865724105,0.0013338865724105,0.0399526326889279,0.0940423901581722,0.917431914200265,0.012842798796908,0.0012842798796908,0.894655082289748,0.940797910887244,0.0712625665911813,0.014665109187881,0.0014665109187881,0.0462766531301108,0.103073733532571,0.358312866666667,0.0276569713125248,0.00276569713125248,0.31375,0.415183333333333,0.0638433333333333,0.0104155684000154,0.00104155684000154,0.044884,0.0840308333333333
"V-PCA","Hausdorff",0.919698789689514,0.013899626402412,0.0013899626402412,0.891911303749268,0.943337827768014,0.0631223859402461,0.0134113049418376,0.00134113049418376,0.0401029970708846,0.0946268787346221,0.917353203656582,0.0128429281850197,0.00128429281850197,0.894781286320533,0.940618421137875,0.071346641585313,0.0146413376432533,0.00146413376432533,0.0466494587281272,0.102720346623337,0.357958533333333,0.0277303128143399,0.00277303128143399,0.313575,0.4149,0.0635919333333333,0.010312719192569,0.0010312719192569,0.0445176666666667,0.0833486666666667
"C-PCA","Ichino-Yaguchi",0.90837084721734,0.015260383632109,0.0015260383632109,0.877106168131224,0.934459565319274,0.0701893766842414,0.0146409877748217,0.00146409877748217,0.045660467486819,0.105548946104276,0.904878819513304,0.0144507830229798,0.00144507830229798,0.878121370541553,0.930395155978583,0.0801270451016397,0.0161858921810583,0.00161858921810583,0.0525435669803525,0.113710676770226,0.323248866666667,0.026877939001859,0.0026877939001859,0.279173333333333,0.385815166666667,0.056786,0.0110757321394228,0.00110757321394228,0.0350161666666667,0.0784226666666667
"IMDS","Ichino-Yaguchi",0.551477171880492,0.0126815255611043,0.00126815255611043,0.529476647627417,0.577224710603398,-0.0405407343878149,0.0164642303842423,0.00164642303842423,-0.0799512009373169,-0.0127176643233743,0.551088442851171,0.0135515630211416,0.00135515630211416,0.526249416384076,0.578902911680939,-0.0497008935054161,0.0178458704113103,0.00178458704113103,-0.0896856852774929,-0.0216348439124185,0.0558868666666667,0.00668891912171429,0.000668891912171429,0.0449168333333333,0.0676195,-0.000850466666666667,0.00367582465212586,0.000367582465212586,-0.0075345,0.00544799999999999
"Int-UMAP","Ichino-Yaguchi",0.811295504393673,0.0287135791024862,0.00287135791024862,0.753609585237258,0.868934294961921,0.0203087967193907,0.0261809101791598,0.00261809101791598,-0.0178347727006444,0.0776268670181605,0.83830719155543,0.0233823330893301,0.00233823330893301,0.794385986051936,0.885256216219826,0.0239236787429479,0.0235439204141913,0.00235439204141913,-0.0112895213585897,0.0742664656632037,0.319056733333333,0.0253673315636014,0.00253673315636014,0.273333333333333,0.361945166666667,0.0019198,0.013187813796523,0.0013187813796523,-0.0244846666666667,0.0290896666666667
"MR-PCA","Ichino-Yaguchi",0.902670975746924,0.0163707992654459,0.00163707992654459,0.870609211482132,0.933090467486819,0.0780137452841242,0.0161737782974531,0.00161737782974531,0.047348676039836,0.112995353837141,0.899328019369518,0.0149285207246255,0.00149285207246255,0.869905699560536,0.928334796758611,0.0873356121146917,0.0163775340191685,0.00163775340191685,0.0548450499106288,0.120977052996979,0.307463533333333,0.0276222632024693,0.00276222632024693,0.266141666666667,0.371161166666667,0.0580642,0.0101613229276927,0.00101613229276927,0.037132,0.0754433333333333
"SPCA","Ichino-Yaguchi",0.908371968834212,0.0152590724564486,0.00152590724564486,0.877113212067955,0.934454972466315,0.0701868756883421,0.0146375233390808,0.00146375233390808,0.0456655278265964,0.105543594610428,0.904879493282537,0.014449800541083,0.0014449800541083,0.878123617260963,0.930392354597355,0.0801254549236142,0.0161836126952855,0.00161836126952855,0.0525459111119197,0.113688286321147,0.323251,0.0268740425058468,0.00268740425058468,0.279150833333333,0.3858145,0.0567866,0.0110735207566687,0.00110735207566687,0.0350261666666667,0.0784648333333333
"V-PCA","Ichino-Yaguchi",0.908352018746339,0.0152718903311323,0.00152718903311323,0.87694273198594,0.934459016403046,0.070154480609256,0.0146639887472534,0.00146639887472534,0.0456604018746339,0.105551266549502,0.904865067799608,0.0144496177383286,0.00144496177383286,0.87849222308935,0.93025143731665,0.0800873133825915,0.0161934897138489,0.00161934897138489,0.0529285690628405,0.114306259641198,0.323239,0.0269629328363598,0.00269629328363598,0.2787245,0.385869166666667,0.0564694666666667,0.0113039987235728,0.00113039987235728,0.033742,0.0792391666666667
"C-PCA","Int-Euclidean",0.92405296344464,0.0134841142392197,0.00134841142392197,0.891262113649678,0.946081880492091,0.0439036356180433,0.0130012497027073,0.00130012497027073,0.0234449338019918,0.074796848857645,0.915068748553043,0.0139295295799219,0.00139295295799219,0.881432324663797,0.9373773231524,0.059935238806032,0.0164588961486473,0.00164588961486473,0.0326674194319697,0.101059613618259,0.351992733333333,0.0289744854685308,0.00289744854685308,0.303741666666667,0.406408333333333,0.0532469333333333,0.00972523296158641,0.000972523296158641,0.0324116666666667,0.069586
"IMDS","Int-Euclidean",0.527703975278266,0.0120333346490896,0.00120333346490896,0.504167451962507,0.550372095489162,-0.0253952602226128,0.0166494151377896,0.00166494151377896,-0.0509326121851201,0.00603882835383714,0.529823645328265,0.0121565636262952,0.00121565636262952,0.507339863666886,0.552771850213461,-0.0412115255317023,0.0192971669475944,0.00192971669475944,-0.0690223619490061,-0.00343478142933442,0.0506986666666667,0.00644300213745191,0.000644300213745191,0.0391583333333333,0.061753,-0.0008912,0.00405994552826517,0.000405994552826517,-0.00950833333333333,0.00700516666666666
