"IDR","Metric","col","value","star","qc","changed"
"SPCA","Wasserstein","B_TC",-0.000779727095516547,FALSE,NA,FALSE
"SPCA","Wasserstein","Q_RE",0.961309115048299,TRUE,0.920383097407579,FALSE
"SPCA","Wasserstein","B_RE",0.0110218376596621,FALSE,NA,FALSE
"SPCA","Wasserstein","Q_LC",0.814814814814815,TRUE,0.770723104056437,FALSE
"SPCA","Wasserstein","B_LC",0.0814814814814815,FALSE,NA,FALSE
"SPCA","Centers-Euclidean","Q_TC",0.978557504873294,TRUE,0.954144620811288,FALSE
"SPCA","Centers-Euclidean","B_TC",0.000779727095516658,FALSE,NA,FALSE
"SPCA","Centers-Euclidean","Q_RE",0.960673900105297,TRUE,0.919075971806669,FALSE
"SPCA","Centers-Euclidean","B_RE",0.0113537517740237,FALSE,NA,FALSE
"SPCA","Centers-Euclidean","Q_LC",0.807407407407407,TRUE,0.761552028218695,FALSE
"SPCA","Centers-Euclidean","B_LC",0.0962962962962963,TRUE,NA,FALSE
"IMDS","Int-Euclidean","Q_TC",0.564912280701754,FALSE,0.0695526695526696,FALSE
"IMDS","Int-Euclidean","B_TC",0.016374269005848,FALSE,NA,FALSE
"IMDS","Int-Euclidean","Q_RE",0.532338735521677,FALSE,0.037661160071706,FALSE
"IMDS","Int-Euclidean","B_RE",0.0467769994964062,FALSE,NA,FALSE
"IMDS","Int-Euclidean","Q_LC",0.222222222222222,FALSE,0.037037037037037,FALSE
"IMDS","Int-Euclidean","B_LC",0.0148148148148148,FALSE,NA,FALSE
"IMDS","Hausdorff","Q_TC",0.577582846003899,FALSE,0.0966490299823634,FALSE
"IMDS","Hausdorff","B_TC",0.0323586744639377,FALSE,NA,FALSE
"IMDS","Hausdorff","Q_RE",0.571189854873415,FALSE,0.117607788040933,FALSE
"IMDS","Hausdorff","B_RE",0.0188160966900151,FALSE,NA,FALSE
"IMDS","Hausdorff","Q_LC",0.244444444444444,FALSE,0.0645502645502645,FALSE
"IMDS","Hausdorff","B_LC",0.0518518518518519,FALSE,NA,FALSE
"IMDS","Ichino-Yaguchi","Q_TC",0.562573099415205,FALSE,0.0645502645502647,FALSE
"IMDS","Ichino-Yaguchi","B_TC",0.0428849902534113,FALSE,NA,FALSE
"IMDS","Ichino-Yaguchi","Q_RE",0.556557020555784,FALSE,0.0874967955947239,FALSE
"IMDS","Ichino-Yaguchi","B_RE",0.0451517648674633,FALSE,NA,FALSE
"IMDS","Ichino-Yaguchi","Q_LC",0.22962962962963,FALSE,0.0462081128747795,FALSE
"IMDS","Ichino-Yaguchi","B_LC",0.0148148148148148,FALSE,NA,FALSE
"IMDS","Wasserstein","Q_TC",0.570175438596491,FALSE,0.0808080808080809,FALSE
"IMDS","Wasserstein","B_TC",0.015204678362573,FALSE,NA,FALSE
"IMDS","Wasserstein","Q_RE",0.557072059698759,FALSE,0.0885566271630301,FALSE
"IMDS","Wasserstein","B_RE",0.0246188710341985,FALSE,NA,FALSE
"IMDS","Wasserstein","Q_LC",0.237037037037037,FALSE,0.055379188712522,FALSE
"IMDS","Wasserstein","B_LC",0.037037037037037,FALSE,NA,FALSE
"IMDS","Centers-Euclidean","Q_TC",0.56374269005848,FALSE,0.0670514670514671,FALSE
"IMDS","Centers-Euclidean","B_TC",0.0288499025341131,FALSE,NA,FALSE
"IMDS","Centers-Euclidean","Q_RE",0.559046376413496,FALSE,0.0926193148415371,FALSE
"IMDS","Centers-Euclidean","B_RE",0.0289337545208991,FALSE,NA,FALSE
"IMDS","Centers-Euclidean","Q_LC",0.214814814814815,FALSE,0.0278659611992945,FALSE
"IMDS","Centers-Euclidean","B_LC",0,FALSE,NA,FALSE
"Int-UMAP","Int-Euclidean","Q_TC",0.817738791423002,TRUE,0.610229276895944,TRUE
"Int-UMAP","Int-Euclidean","B_TC",0.042495126705653,FALSE,NA,TRUE
"Int-UMAP","Int-Euclidean","Q_RE",0.785554868836698,TRUE,0.558721462676265,TRUE
"Int-UMAP","Int-Euclidean","B_RE",0.088552396648812,FALSE,NA,TRUE
"Int-UMAP","Int-Euclidean","Q_LC",0.555555555555556,TRUE,0.44973544973545,TRUE
"Int-UMAP","Int-Euclidean","B_LC",0.0518518518518518,FALSE,NA,TRUE
"Int-UMAP","Hausdorff","Q_TC",0.760038986354776,TRUE,0.486836620169954,TRUE
"Int-UMAP","Hausdorff","B_TC",-0.0510721247563353,FALSE,NA,TRUE
"Int-UMAP","Hausdorff","Q_RE",0.859772009339376,TRUE,0.71144319166918,TRUE
"Int-UMAP","Hausdorff","B_RE",-0.0222725816050909,FALSE,NA,TRUE
"Int-UMAP","Hausdorff","Q_LC",0.533333333333333,TRUE,0.422222222222222,FALSE
"Int-UMAP","Hausdorff","B_LC",0.0148148148148148,FALSE,NA,TRUE
"Int-UMAP","Ichino-Yaguchi","Q_TC",0.793567251461988,TRUE,0.558537758537758,TRUE
"Int-UMAP","Ichino-Yaguchi","B_TC",0.00584795321637432,FALSE,NA,TRUE
"Int-UMAP","Ichino-Yaguchi","Q_RE",0.876751133086115,TRUE,0.74638230570434,TRUE
"Int-UMAP","Ichino-Yaguchi","B_RE",0.00287277388637092,FALSE,NA,TRUE
"Int-UMAP","Ichino-Yaguchi","Q_LC",0.555555555555556,TRUE,0.44973544973545,FALSE
"Int-UMAP","Ichino-Yaguchi","B_LC",0,FALSE,NA,FALSE
"Int-UMAP","Wasserstein","Q_TC",0.776218323586745,TRUE,0.521436588103255,TRUE
"Int-UMAP","Wasserstein","B_TC",-0.0226120857699805,FALSE,NA,TRUE
