"scenario","Metric","index","K","tau.mean","tau.q025","tau.q975"
"II","Ichino-Yaguchi","Q_LC",40,0.462939212428286,-0.276026223736942,1
"III","Ichino-Yaguchi","Q_LC",40,0.79018271540431,0.571428571428571,1
"IV","Ichino-Yaguchi","Q_LC",40,0.552094660923219,0.146666666666667,1
"I","Int-Euclidean","Q_LC",40,0.848461375419473,0.714285714285714,1
"II","Int-Euclidean","Q_LC",40,0.502052532457319,-0.230410489494777,1
"III","Int-Euclidean","Q_LC",40,0.791318518276616,0.371428571428571,1
"IV","Int-Euclidean","Q_LC",40,0.832714009759017,0.466299822826816,1
"I","Wasserstein","Q_LC",40,0.859889946848045,0.714285714285714,1
"II","Wasserstein","Q_LC",40,0.44258782548897,-0.253333333333333,0.92
"III","Wasserstein","Q_LC",40,0.864230687709737,0.528021162811653,1
"IV","Wasserstein","Q_LC",40,0.611924793520756,0.140919530461674,1
"I","Centers-Euclidean","Q_RE",40,0.96,0.5,1
"II","Centers-Euclidean","Q_RE",40,0.648,0.0933333333333334,1
"III","Centers-Euclidean","Q_RE",40,0.94,0.333333333333333,1
"IV","Centers-Euclidean","Q_RE",40,0.957333333333333,0.6,1
"I","Hausdorff","Q_RE",40,0.965714285714286,0.714285714285714,1
"II","Hausdorff","Q_RE",40,0.690666666666667,0.2,1
"III","Hausdorff","Q_RE",40,0.965714285714286,0.714285714285714,1
"IV","Hausdorff","Q_RE",40,0.957333333333333,0.733333333333333,1
"I","Ichino-Yaguchi","Q_RE",40,0.931428571428571,0.714285714285714,1
"II","Ichino-Yaguchi","Q_RE",40,0.637333333333333,-0.0666666666666667,1
"III","Ichino-Yaguchi","Q_RE",40,0.965714285714286,0.714285714285714,1
"IV","Ichino-Yaguchi","Q_RE",40,0.936,0.733333333333333,1
"I","Int-Euclidean","Q_RE",40,0.977142857142857,0.714285714285714,1
"II","Int-Euclidean","Q_RE",40,0.674666666666667,0.04,1
"III","Int-Euclidean","Q_RE",40,0.942857142857143,0.657142857142857,1
"IV","Int-Euclidean","Q_RE",40,0.978666666666667,0.733333333333333,1
"I","Wasserstein","Q_RE",40,1,1,1
"II","Wasserstein","Q_RE",40,0.648,0.0933333333333334,1
"III","Wasserstein","Q_RE",40,0.92,0.714285714285714,1
"IV","Wasserstein","Q_RE",40,0.978666666666667,0.733333333333333,1
"I","Centers-Euclidean","Q_TC",40,0.74,0.5,1
"II","Centers-Euclidean","Q_TC",40,0.738666666666667,0.28,1
"III","Centers-Euclidean","Q_TC",40,0.713333333333333,0.333333333333333,1
"IV","Centers-Euclidean","Q_TC",40,0.642807867121083,0.2,0.866666666666667
"I","Hausdorff","Q_TC",40,0.851428571428571,0.714285714285714,1
"II","Hausdorff","Q_TC",40,0.685333333333333,0.28,1
"III","Hausdorff","Q_TC",40,0.931428571428571,0.571428571428571,1
"IV","Hausdorff","Q_TC",40,0.813333333333333,0.6,1
"I","Ichino-Yaguchi","Q_TC",40,0.908571428571428,0.714285714285714,1
"II","Ichino-Yaguchi","Q_TC",40,0.747228240090883,0.333333333333333,1
"III","Ichino-Yaguchi","Q_TC",40,0.885714285714286,0.514285714285714,1
"IV","Ichino-Yaguchi","Q_TC",40,0.813333333333333,0.6,1
"I","Int-Euclidean","Q_TC",40,0.862857142857143,0.714285714285714,1
"II","Int-Euclidean","Q_TC",40,0.738666666666667,0.28,1
"III","Int-Euclidean","Q_TC",40,0.851428571428571,0.714285714285714,1
"IV","Int-Euclidean","Q_TC",40,0.817310337989838,0.6,1
"I","Wasserstein","Q_TC",40,0.897142857142857,0.714285714285714,1
"II","Wasserstein","Q_TC",40,0.754666666666667,0.413333333333333,1
"III","Wasserstein","Q_TC",40,0.885714285714286,0.571428571428571,1
"IV","Wasserstein","Q_TC",40,0.795977004656505,0.6,1
