"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","Q_TC_spread","B_TC_spread","Q_RE_spread","B_RE_spread","Q_LC_spread","B_LC_spread","rep"
"IMDS","Wasserstein",5,0.553559771689498,-0.0567089497716895,0.552236863777674,-0.0688877148083438,0.03,-0.004,0.000511415525114134,0.00103881278538798,0.000647480539081702,0.00132531108759665,0,0,18
"Int-UMAP","Centers-Euclidean",10,0.792957621558289,0.0307833860574106,0.824193929758516,0.042972841562193,0.319,0.0166666666666667,4.10076156998063e-06,8.20152313985023e-06,6.85156212698601e-06,1.81797442768972e-05,0,0,18
"Int-UMAP","Centers-Euclidean",20,0.762414743351886,0.00685157699443417,0.80366057473917,0.0326976075307831,0.337333333333333,0.0176666666666667,2.16450216450337e-06,3.71057513914863e-06,5.28150009948547e-06,1.47671310808117e-05,0,0,18
"Int-UMAP","Centers-Euclidean",40,0.728261833681281,2.9345859429315e-05,0.781325803634685,0.0268058061853925,0.371583333333333,0.00914166666666667,1.56576200405212e-06,2.08768267229154e-06,4.54244669945147e-06,1.25390605708042e-05,0,0.00025,18
"Int-UMAP","Centers-Euclidean",5,0.825570365296804,0.0413802739726028,0.844292015486708,0.0491108251101213,0.318,0.024,6.84931506855779e-06,1.59817351598202e-05,8.32574583098378e-06,2.32136558637186e-05,0,0,18
"Int-UMAP","Hausdorff",10,0.79760043350908,0.0267624838898653,0.831559038865383,0.0269789665486257,0.327333333333333,-0.00291333333333332,3.51493848849138e-06,8.20152313996125e-06,7.36508386833812e-06,1.43494401077804e-05,0,0.000666666666666677,18
"Int-UMAP","Hausdorff",20,0.762560086580087,0.0167318985776128,0.809085472027947,0.0234788814680336,0.332666666666667,0.00254333333333333,1.54607297464526e-06,3.71057513914863e-06,5.90711588333015e-06,1.12001952773666e-05,0,0.000333333333333352,18
"Int-UMAP","Hausdorff",40,0.727214725121782,0.0171071816283925,0.785397452013159,0.0223125796506803,0.369166666666667,0.00718833333333333,8.69867780139977e-07,1.73973556016893e-06,5.30265123077633e-06,9.9221515735548e-06,0,0.000166666666666676,18
"Int-UMAP","Hausdorff",5,0.837220616438356,0.0191534703196347,0.855032585246614,0.0253004519690594,0.350666666666667,-0.00600000000000001,5.70776255703898e-06,1.36986301368935e-05,9.10500282991222e-06,1.97685196577924e-05,0,0,18
"Int-UMAP","Ichino-Yaguchi",10,0.805440023432923,0.0157208670181605,0.838975716086495,0.0247928582251675,0.337333333333333,-0.00374666666666667,3.51493848849138e-06,9.37316930282872e-06,8.29310746353062e-06,1.59184063846796e-05,0,0.001,18
"Int-UMAP","Ichino-Yaguchi",20,0.767198014842301,0.00111333333333329,0.815197840939671,0.0186128425082595,0.3475,0.00120666666666667,1.54607297464526e-06,2.47371675943242e-06,6.79291888838751e-06,1.25347244085139e-05,0,0.000666666666666677,18
"Int-UMAP","Ichino-Yaguchi",40,0.731101370911621,-0.00332228253305494,0.791316639974228,0.014807059284845,0.377,-0.00277333333333334,1.21781489226258e-06,2.43562978441414e-06,5.79082927976149e-06,1.08600733427222e-05,0,0.000416666666666676,18
"Int-UMAP","Ichino-Yaguchi",5,0.844134634703196,0.0174024200913242,0.861419246827604,0.0282178671325803,0.349333333333333,0.01,9.13242009137338e-06,1.36986301368935e-05,1.09095979854423e-05,1.9686492605267e-05,0,0,18
"Int-UMAP","Int-Euclidean",10,0.787640913884007,0.0268883421206795,0.813082642734865,0.0460817675832838,0.313333333333333,0.016,3.51493848849138e-06,9.37316930282872e-06,6.35953307437376e-06,1.25471246389952e-05,0,0,18
"Int-UMAP","Int-Euclidean",20,0.758099734075448,0.0061220160791589,0.793795672657614,0.0356520063048215,0.3325,0.0124133333333333,9.2764378489818e-07,1.85528756957432e-06,5.03107167193484e-06,1.09489899794146e-05,0,0.000166666666666676,18
"Int-UMAP","Int-Euclidean",40,0.724634857341684,-0.00106720946416142,0.772201158641374,0.0292500108602969,0.36975,0.00349666666666667,8.69867780028954e-07,1.73973556016893e-06,4.46574770940344e-06,9.37574543113939e-06,0,0.000166666666666704,18
"Int-UMAP","Int-Euclidean",5,0.823501575342466,0.0370944748858447,0.833145221514055,0.0540167679700765,0.300666666666667,0.0253333333333333,3.42465753422339e-06,6.84931506844677e-06,8.44878640970936e-06,1.74717621871934e-05,0,0,18
"Int-UMAP","Wasserstein",10,0.799328049209139,0.0213404335090802,0.831771251471674,0.0308669083980071,0.334666666666667,0.0133333333333333,2.92911540711316e-06,4.68658465146987e-06,9.15435020454325e-06,1.6661439337734e-05,0,0,18
"Int-UMAP","Wasserstein",20,0.763269313543599,0.00551069882498461,0.808999271951516,0.0243274508153662,0.338833333333333,0.00759666666666666,1.85528756957432e-06,3.09214594929053e-06,7.13429496679296e-06,1.44960285847484e-05,0,5e-04,18
"Int-UMAP","Wasserstein",40,0.728241440501044,0.0015311203897008,0.785654059329544,0.0203594387806465,0.373166666666667,0.00208833333333333,6.95894224134186e-07,1.73973556016893e-06,6.25715291591167e-06,1.23629232471334e-05,0,0.000333333333333352,18
"Int-UMAP","Wasserstein",5,0.836278082191781,0.027227397260274,0.853728620879166,0.0349949372903183,0.338666666666667,0.0186666666666667,5.70776255703898e-06,1.1415525114189e-05,1.21810172994952e-05,2.23933853384928e-05,0,0,18
"MR-PCA","Centers-Euclidean",10,0.89600676039836,0.0801293263034564,0.891860965531407,0.0918687929997699,0.275666666666667,0.0575,4.10076157009165e-06,5.85823081433734e-06,7.31135214648848e-06,1.3003076678425e-05,0,0.00100000000000001,18
"MR-PCA","Centers-Euclidean",20,0.89651341991342,0.0671679406307978,0.886480626672706,0.0851341029087514,0.378666666666667,0.0775133333333333,2.16450216450337e-06,4.94743351886484e-06,5.67132691997596e-06,1.1041361413569e-05,0,0.000666666666666677,18
"MR-PCA","Centers-Euclidean",40,0.905679293667363,0.0529270911621434,0.880347699480501,0.079063755152831,0.521666666666667,0.09759,1.04384133614577e-06,1.73973556005791e-06,5.41147066235315e-06,9.41558331077341e-06,0,0.00033333333333338,18
"MR-PCA","Centers-Euclidean",5,0.899222420091324,0.0904966210045662,0.896317463559482,0.0982075661753246,0.204666666666667,0.0326666666666667,4.5662100457422e-06,1.36986301370046e-05,8.53081346230411e-06,1.93583843951656e-05,0,0.00133333333333335,18
"MR-PCA","Hausdorff",10,0.900435418863503,0.0691444405389573,0.898246903955161,0.0786757762506711,0.29,0.0506933333333333,4.10076156998063e-06,8.20152314007228e-06,5.10297838007823e-06,1.5421004159924e-05,0,0.00133333333333335,18
"MR-PCA","Hausdorff",20,0.899159072356215,0.0622360173160173,0.891950734531455,0.0744056222413473,0.385833333333333,0.0708466666666667,1.85528756957432e-06,3.09214594929053e-06,4.56633639345227e-06,1.16649114923206e-05,0,0.000666666666666677,18
"MR-PCA","Hausdorff",40,0.90501885177453,0.0503133750869868,0.884661507600704,0.0697005119946384,0.520916666666667,0.091995,1.56576200427416e-06,2.43562978419209e-06,4.05155141347535e-06,1.01730040207304e-05,0,0.000499999999999973,18
"MR-PCA","Hausdorff",5,0.904097465753425,0.0790729223744292,0.90346309602907,0.0840828456825061,0.215333333333333,0.0330533333333333,7.99086757996559e-06,1.59817351598202e-05,7.01331299057806e-06,1.77998703972393e-05,0,0.002,18
"MR-PCA","Ichino-Yaguchi",10,0.896138301113064,0.0794702284710018,0.893259864936874,0.0889646373730531,0.274666666666667,0.0578333333333333,3.5149384886024e-06,7.02987697720481e-06,6.82316107403214e-06,1.45060296970478e-05,0,0.001,18
"MR-PCA","Ichino-Yaguchi",20,0.896572554112554,0.0668775262832405,0.887630647529779,0.0827942851869532,0.378666666666667,0.0778466666666667,1.54607297464526e-06,3.71057513914863e-06,5.44496690990659e-06,1.1870400585326e-05,0,0.000666666666666677,18
"MR-PCA","Ichino-Yaguchi",40,0.905745998608211,0.052949853862213,0.881351597169583,0.0770989498260559,0.522083333333333,0.0961733333333333,1.04384133625679e-06,2.08768267229154e-06,5.05229865566115e-06,9.66107440859842e-06,0,0.000333333333333352,18
"MR-PCA","Ichino-Yaguchi",5,0.8996899543379,0.0895113242009133,0.898092624127437,0.094649928226329,0.208,0.0346666666666667,5.70776255703898e-06,1.59817351598202e-05,8.73588109351342e-06,1.96864926052809e-05,0,0.00133333333333334,18
