"Method","lambda","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","n_res"
"Int-UMAP",0.5,0.688231708443394,0.265963758612409,0.673857170880385,0.281687480777388,0.0717829457364341,0.0243410852713178,FALSE,0,0
"C-PCA",0.55,0.997991884786129,0.000937128642764296,0.997448394259398,0.000692103248126765,0.81906976744186,0.0378294573643411,FALSE,0,0
"V-PCA",0.55,0.997938809563392,0.0011807082032621,0.99743972975786,0.000763315128497708,0.79937984496124,0.0643410852713178,FALSE,0,0
"MR-PCA",0.55,0.919567024401057,-0.0174993073129283,0.910180912872927,-0.0264040791798237,0.181860465116279,-0.0327131782945737,FALSE,0,0
"SPCA",0.55,0.997991884786129,0.000937128642764296,0.997448394259398,0.000692103248126765,0.81906976744186,0.0378294573643411,FALSE,0,0
"IMDS",0.55,0.494152982248739,-0.0143359747800333,0.504866473131696,-0.0108202714547203,0.0150387596899225,0.000155038759689922,TRUE,0,50
"Int-UMAP",0.55,0.69319085529921,0.256127232761328,0.680593139493986,0.268254431685253,0.072093023255814,0.0238759689922481,FALSE,0,0
"C-PCA",0.6,0.998003952934222,0.00091299234657749,0.997453853958487,0.000679030664382594,0.81906976744186,0.0370542635658915,FALSE,0,0
"V-PCA",0.6,0.997957158074268,0.00116371428043671,0.997448878660425,0.000753968554821447,0.80015503875969,0.0635658914728682,FALSE,0,0
"MR-PCA",0.6,0.920779134418235,-0.0176916588162133,0.911712677977983,-0.0269285316927111,0.182480620155039,-0.0317829457364341,FALSE,0,0
"SPCA",0.6,0.998003952934222,0.00091299234657749,0.997453853958487,0.000679030664382594,0.81906976744186,0.0370542635658915,FALSE,0,0
"IMDS",0.6,0.494037226542537,-0.0129937011655615,0.505007450754909,-0.0090451944087489,0.0150387596899225,0.000310077519379844,TRUE,0,50
"Int-UMAP",0.6,0.697611245543713,0.247169711411173,0.686715573621501,0.255991159477513,0.0722480620155039,0.0237209302325581,FALSE,0,0
"C-PCA",0.65,0.998015897937948,0.000895998423752098,0.997458460204748,0.000669145137053892,0.818914728682171,0.0365891472868217,FALSE,0,0
"V-PCA",0.65,0.997971196532255,0.00115534046339227,0.997452941680841,0.000750490660611825,0.80046511627907,0.0638759689922481,FALSE,0,0
"MR-PCA",0.65,0.921983978917684,-0.017755201310256,0.912960129750068,-0.0271598147796386,0.183565891472868,-0.0311627906976744,FALSE,0,0
