"dataset","IDR","Metric","test","old_raw","new_raw","raw_delta","old_adj","new_adj","adj_delta","old_marker","new_marker","marker_flip"
"Face","SPCA","Int-Euclidean","B_LC",0.794,0.797,0.003,0.997,0.997,0,FALSE,FALSE,FALSE
"Face","SPCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","SPCA","Hausdorff","B_TC",0.994,0.995,0.001,1,1,0,FALSE,FALSE,FALSE
"Face","SPCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Hausdorff","B_RE",0.811,0.811,0,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","SPCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Hausdorff","B_LC",0.027,0.023,-0.004,0.1,0.084,-0.016,FALSE,FALSE,FALSE
"Face","SPCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","SPCA","Ichino-Yaguchi","B_TC",0.986,0.989,0.003,1,1,0,FALSE,FALSE,FALSE
"Face","SPCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Ichino-Yaguchi","B_RE",0.849,0.865,0.016,1,1,0,FALSE,FALSE,FALSE
"Face","SPCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Ichino-Yaguchi","B_LC",0.041,0.045,0.004,0.141,0.154,0.013,FALSE,FALSE,FALSE
"Face","SPCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","SPCA","Wasserstein","B_TC",0.988,0.988,0,1,1,0,FALSE,FALSE,FALSE
"Face","SPCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Wasserstein","B_RE",0.809,0.815,0.00599999999999989,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","SPCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Wasserstein","B_LC",0.036,0.039,0.003,0.124,0.131,0.00700000000000001,FALSE,FALSE,FALSE
"Face","SPCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.002,0.001,TRUE,TRUE,FALSE
"Face","SPCA","Centers-Euclidean","B_TC",0.984,0.977,-0.00700000000000001,1,1,0,FALSE,FALSE,FALSE
"Face","SPCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Centers-Euclidean","B_RE",0.794,0.803,0.00900000000000001,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","SPCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.004,0.003,TRUE,TRUE,FALSE
"Face","SPCA","Centers-Euclidean","B_LC",0.009,0.01,0.001,0.034,0.037,0.003,TRUE,TRUE,FALSE
"Face","IMDS","Int-Euclidean","Q_TC",0.123,0.124,0.001,0.445,0.444,-0.001,FALSE,FALSE,FALSE
"Face","IMDS","Int-Euclidean","B_TC",0.637,0.655,0.018,0.99,0.99,0,FALSE,FALSE,FALSE
"Face","IMDS","Int-Euclidean","Q_RE",0.232,0.221,-0.011,0.713,0.683,-0.0299999999999999,FALSE,FALSE,FALSE
"Face","IMDS","Int-Euclidean","B_RE",0.233,0.225,-0.00800000000000001,0.715,0.69,-0.025,FALSE,FALSE,FALSE
"Face","IMDS","Int-Euclidean","Q_LC",0.182,0.192,0.01,0.654,0.678,0.024,FALSE,FALSE,FALSE
"Face","IMDS","Int-Euclidean","B_LC",0.751,0.735,-0.016,0.999,1,0.001,FALSE,FALSE,FALSE
"Face","IMDS","Hausdorff","Q_TC",0.058,0.061,0.003,0.24,0.257,0.017,FALSE,FALSE,FALSE
"Face","IMDS","Hausdorff","B_TC",0.327,0.344,0.017,0.799,0.813,0.0139999999999999,FALSE,FALSE,FALSE
"Face","IMDS","Hausdorff","Q_RE",0.024,0.021,-0.003,0.127,0.106,-0.021,FALSE,FALSE,FALSE
"Face","IMDS","Hausdorff","B_RE",0.624,0.631,0.00700000000000001,0.992,0.991,-0.001,FALSE,FALSE,FALSE
"Face","IMDS","Hausdorff","Q_LC",0.077,0.084,0.00700000000000001,0.337,0.377,0.04,FALSE,FALSE,FALSE
"Face","IMDS","Hausdorff","B_LC",0.113,0.114,0.001,0.463,0.488,0.025,FALSE,FALSE,FALSE
"Face","IMDS","Ichino-Yaguchi","Q_TC",0.123,0.124,0.001,0.445,0.444,-0.001,FALSE,FALSE,FALSE
"Face","IMDS","Ichino-Yaguchi","B_TC",0.192,0.195,0.003,0.607,0.589,-0.018,FALSE,FALSE,FALSE
"Face","IMDS","Ichino-Yaguchi","Q_RE",0.07,0.057,-0.013,0.314,0.258,-0.056,FALSE,FALSE,FALSE
"Face","IMDS","Ichino-Yaguchi","B_RE",0.195,0.197,0.002,0.647,0.645,-0.002,FALSE,FALSE,FALSE
"Face","IMDS","Ichino-Yaguchi","Q_LC",0.149,0.152,0.003,0.577,0.592,0.015,FALSE,FALSE,FALSE
"Face","IMDS","Ichino-Yaguchi","B_LC",0.73,0.732,0.002,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","IMDS","Wasserstein","Q_TC",0.087,0.077,-0.01,0.346,0.3,-0.046,FALSE,FALSE,FALSE
"Face","IMDS","Wasserstein","B_TC",0.609,0.642,0.033,0.986,0.988,0.002,FALSE,FALSE,FALSE
"Face","IMDS","Wasserstein","Q_RE",0.064,0.054,-0.01,0.298,0.249,-0.049,FALSE,FALSE,FALSE
"Face","IMDS","Wasserstein","B_RE",0.493,0.503,0.01,0.951,0.959,0.00800000000000001,FALSE,FALSE,FALSE
"Face","IMDS","Wasserstein","Q_LC",0.099,0.103,0.00399999999999999,0.42,0.455,0.035,FALSE,FALSE,FALSE
"Face","IMDS","Wasserstein","B_LC",0.287,0.293,0.00600000000000001,0.811,0.816,0.00499999999999989,FALSE,FALSE,FALSE
"Face","IMDS","Centers-Euclidean","Q_TC",0.117,0.12,0.00299999999999999,0.426,0.435,0.00900000000000001,FALSE,FALSE,FALSE
"Face","IMDS","Centers-Euclidean","B_TC",0.379,0.387,0.00800000000000001,0.854,0.856,0.002,FALSE,FALSE,FALSE
"Face","IMDS","Centers-Euclidean","Q_RE",0.057,0.051,-0.00600000000000001,0.269,0.24,-0.029,FALSE,FALSE,FALSE
"Face","IMDS","Centers-Euclidean","B_RE",0.417,0.43,0.013,0.911,0.928,0.017,FALSE,FALSE,FALSE
"Face","IMDS","Centers-Euclidean","Q_LC",0.272,0.285,0.013,0.797,0.808,0.011,FALSE,FALSE,FALSE
"Face","IMDS","Centers-Euclidean","B_LC",1,1,0,1,1,0,FALSE,FALSE,FALSE
"Face","Int-UMAP","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Int-Euclidean","B_TC",0.017,0.259,0.242,0.074,0.677,0.603,FALSE,FALSE,FALSE
"Face","Int-UMAP","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Int-Euclidean","B_RE",0.111,0.054,-0.057,0.408,0.218,-0.19,FALSE,FALSE,FALSE
"Face","Int-UMAP","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","Int-UMAP","Int-Euclidean","B_LC",0.055,0.156,0.101,0.209,0.488,0.279,FALSE,FALSE,FALSE
"Face","Int-UMAP","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Hausdorff","B_TC",0.545,0.178,-0.367,0.957,0.523,-0.434,FALSE,FALSE,FALSE
"Face","Int-UMAP","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Hausdorff","B_RE",0.856,0.6,-0.256,1,0.981,-0.019,FALSE,FALSE,FALSE
"Face","Int-UMAP","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","Int-UMAP","Hausdorff","B_LC",0.801,0.766,-0.035,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","Int-UMAP","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Ichino-Yaguchi","B_TC",0.676,0.86,0.184,0.988,1,0.012,FALSE,FALSE,FALSE
"Face","Int-UMAP","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Ichino-Yaguchi","B_RE",0.89,0.929,0.039,1,1,0,FALSE,FALSE,FALSE
"Face","Int-UMAP","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","Int-UMAP","Ichino-Yaguchi","B_LC",1,1,0,1,1,0,FALSE,FALSE,FALSE
"Face","Int-UMAP","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Wasserstein","B_TC",0.931,0.508,-0.423,1,0.929,-0.071,FALSE,FALSE,FALSE
"Face","Int-UMAP","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Wasserstein","B_RE",0.945,0.777,-0.168,1,0.998,-0.002,FALSE,FALSE,FALSE
"Face","Int-UMAP","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","Int-UMAP","Wasserstein","B_LC",0.38,0.573,0.193,0.861,0.966,0.105,FALSE,FALSE,FALSE
"Face","Int-UMAP","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Centers-Euclidean","B_TC",0.619,0.428,-0.191,0.978,0.879,-0.099,FALSE,FALSE,FALSE
"Face","Int-UMAP","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"Face","Int-UMAP","Centers-Euclidean","B_RE",0.928,0.974,0.0459999999999999,1,1,0,FALSE,FALSE,FALSE
"Face","Int-UMAP","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","Int-UMAP","Centers-Euclidean","B_LC",0.512,0.377,-0.135,0.94,0.824,-0.116,FALSE,FALSE,FALSE
"USHCN","C-PCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","C-PCA","Int-Euclidean","B_TC",0.976,0.976,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","C-PCA","Int-Euclidean","B_RE",0.984,0.984,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Int-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","C-PCA","Hausdorff","B_TC",0.695,0.695,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","C-PCA","Hausdorff","B_RE",0.753,0.753,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Hausdorff","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","C-PCA","Ichino-Yaguchi","B_TC",0.642,0.642,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","C-PCA","Ichino-Yaguchi","B_RE",0.667,0.667,0,0.996,0.996,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Ichino-Yaguchi","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","C-PCA","Wasserstein","B_TC",0.653,0.653,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","C-PCA","Wasserstein","B_RE",0.707,0.707,0,0.998,0.998,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Wasserstein","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.005,0.004,TRUE,TRUE,FALSE
"USHCN","C-PCA","Centers-Euclidean","B_TC",0.502,0.502,0,0.987,0.987,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","C-PCA","Centers-Euclidean","B_RE",0.48,0.48,0,0.984,0.984,0,FALSE,FALSE,FALSE
"USHCN","C-PCA","Centers-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","C-PCA","Centers-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Int-Euclidean","B_TC",0.974,0.974,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Int-Euclidean","B_RE",0.99,0.99,0,1,1,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Int-Euclidean","B_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
"USHCN","V-PCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Hausdorff","B_TC",0.653,0.653,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.006,0.005,TRUE,TRUE,FALSE
"USHCN","V-PCA","Hausdorff","B_RE",0.786,0.786,0,0.999,0.999,0,FALSE,FALSE,FALSE
"USHCN","V-PCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.001,0,TRUE,TRUE,FALSE
