"Method","Metric","Q_TC.mean","Q_TC.sd","Q_TC.mcse","B_TC.mean","B_TC.sd","B_TC.mcse","Q_RE.mean","Q_RE.sd","Q_RE.mcse","B_RE.mean","B_RE.sd","B_RE.mcse","Q_LC.mean","Q_LC.sd","Q_LC.mcse","B_LC.mean","B_LC.sd","B_LC.mcse"
"Int-UMAP","Ichino-Yaguchi",0.869821323960164,0.00725251132842845,0.000725251132842845,0.0258579261862917,0.00791695776977865,0.000791695776977865,0.874628707024409,0.00724605729092324,0.000724605729092324,0.0343272413381778,0.00895744942399036,0.000895744942399036,0.28628,0.0157173205051252,0.00157173205051252,0.02104,0.00889308991635537,0.000889308991635537
"MR-PCA","Ichino-Yaguchi",0.717221534856473,0.00502107015904854,0.000502107015904854,0.255735020503808,0.00844944122143435,0.000844944122143435,0.728143933742339,0.00801143358931497,0.000801143358931497,0.273926151919842,0.0161979454000087,0.00161979454000087,0.137066666666667,0.00708454634097791,0.000708454634097791,0.0289733333333333,0.00686271992752083,0.000686271992752083
"SPCA","Ichino-Yaguchi",0.924976766256591,0.00352760881619584,0.000352760881619584,0.0605830345635618,0.00372475123338939,0.000372475123338939,0.919463383696844,0.00352759211861201,0.000352759211861201,0.0714426108366444,0.00449655964453171,0.000449655964453171,0.349593333333333,0.011795448912156,0.0011795448912156,0.0687033333333333,0.00997515375722897,0.000997515375722897
"V-PCA","Ichino-Yaguchi",0.925005782073814,0.00357968976947189,0.000357968976947189,0.0605700878734622,0.00380695778859757,0.000380695778859757,0.91945030131982,0.00354891498330013,0.000354891498330013,0.0714916502900055,0.00446295981862833,0.000446295981862833,0.349786666666667,0.0118243333726766,0.00118243333726766,0.06871,0.00936797982575287,0.000936797982575287
"C-PCA","Int-Euclidean",0.92957137082601,0.00451011502645146,0.000451011502645146,0.054018547158758,0.00469198606754854,0.000469198606754854,0.923200102289846,0.00442292512598731,0.000442292512598731,0.0639912789116962,0.00566658905472297,0.000566658905472297,0.34219,0.01382139194947,0.001382139194947,0.06489,0.00885942781896558,0.000885942781896558
"IMDS","Int-Euclidean",0.511408939660223,0.0353954970570609,0.00353954970570609,-0.0577666080843585,0.029868152865905,0.0029868152865905,0.499515531507284,0.0347173733121212,0.00347173733121212,-0.0501385574383663,0.0295989246153276,0.00295989246153276,0.0321833333333333,0.00527011671510194,0.000527011671510194,-0.000563333333333333,0.00348338850986538,0.000348338850986538
"Int-UMAP","Int-Euclidean",0.778554434680726,0.0130825280141744,0.00130825280141744,-0.0860005623901582,0.01984367221162,0.001984367221162,0.778555753162918,0.0127161523134776,0.00127161523134776,-0.0737201744500136,0.0217267912752815,0.00217267912752815,0.16695,0.0129146707483668,0.00129146707483668,0.00845666666666667,0.00756233430312582,0.000756233430312582
"MR-PCA","Int-Euclidean",0.732832817809022,0.00487970631615152,0.000487970631615152,0.22069963678969,0.00705017413281293,0.000705017413281293,0.740394260592403,0.00478826725704897,0.000478826725704897,0.246524528669174,0.00787744700834224,0.000787744700834224,0.13537,0.00727245853880606,0.000727245853880606,0.0296733333333333,0.00572136013904286,0.000572136013904286
"SPCA","Int-Euclidean",0.92957137082601,0.00451011502645146,0.000451011502645146,0.054018547158758,0.00469198606754854,0.000469198606754854,0.923200102289846,0.00442292512598731,0.000442292512598731,0.0639912789116962,0.00566658905472297,0.000566658905472297,0.34219,0.01382139194947,0.001382139194947,0.06489,0.00885942781896558,0.000885942781896558
"V-PCA","Int-Euclidean",0.929525184534271,0.00444876791393331,0.000444876791393331,0.0540966490919742,0.00460564840690977,0.000460564840690977,0.923204964849475,0.00438521396126889,0.000438521396126889,0.0639786130706558,0.00563448397690401,0.000563448397690401,0.342,0.0131432579704791,0.00131432579704791,0.0646466666666667,0.00862536389707138,0.000862536389707138
"C-PCA","Wasserstein",0.920344264792033,0.00344022314165376,0.000344022314165376,0.059332208553017,0.00344638108858663,0.000344638108858663,0.915542028891393,0.00350211851549702,0.000350211851549702,0.0717761178155507,0.0043847608949822,0.00043847608949822,0.33187,0.0112739477001284,0.00112739477001284,0.07074,0.00971346849781977,0.000971346849781977
"IMDS","Wasserstein",0.563309484475688,0.0155877708525886,0.00155877708525886,-0.0703868892794376,0.0169868614830779,0.00169868614830779,0.568083845826496,0.0153819653097526,0.00153819653097526,-0.0882968404519421,0.0175986946058228,0.00175986946058228,0.05125,0.00527501256640755,0.000527501256640755,-0.00309,0.00415087377384807,0.000415087377384807
"Int-UMAP","Wasserstein",0.853736813122437,0.00747345395630297,0.000747345395630297,0.00803796133567663,0.00765268814534431,0.000765268814534431,0.861546379479825,0.00721194431522371,0.000721194431522371,0.020606348986305,0.00874412859979986,0.000874412859979986,0.26416,0.0155286549507394,0.00155286549507394,0.02041,0.00921252441302633,0.000921252441302633
"MR-PCA","Wasserstein",0.74472582893966,0.00517623135671052,0.000517623135671052,0.227673778558875,0.00702247057620371,0.000702247057620371,0.751727912002177,0.00658023121054204,0.000658023121054204,0.245049109197136,0.0121085387573186,0.00121085387573186,0.153193333333333,0.00847167062287814,0.000847167062287814,0.0289266666666667,0.00743283883544906,0.000743283883544906
"SPCA","Wasserstein",0.920344264792033,0.00344022314165376,0.000344022314165376,0.059332208553017,0.00344638108858663,0.000344638108858663,0.915542028891393,0.00350211851549702,0.000350211851549702,0.0717761178155507,0.0043847608949822,0.00043847608949822,0.33187,0.0112739477001284,0.00112739477001284,0.07074,0.00971346849781977,0.000971346849781977
"V-PCA","Wasserstein",0.920385811364968,0.00351350475334277,0.000351350475334277,0.0592945284124195,0.00344726679866858,0.000344726679866858,0.915562457569211,0.00350854525167238,0.000350854525167238,0.0717637026560204,0.00431021879872929,0.000431021879872929,0.332086666666667,0.0112578811401859,0.00112578811401859,0.0706566666666667,0.00893742493866277,0.000893742493866277
