"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"SPCA","Hausdorff",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"SPCA","Ichino-Yaguchi",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"SPCA","Wasserstein",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"SPCA","Centers-Euclidean",0.002,0.002,0.002,0.002,0.001,0.001,4,"minP"
"IMDS","Int-Euclidean",0.991,0.132,1,0.3,1,0.942,4,"minP"
"IMDS","Hausdorff",0.005,0.005,0.005,0.005,0.008,0.634,4,"minP"
"IMDS","Ichino-Yaguchi",0.005,0.005,0.005,0.005,0.008,0.719,4,"minP"
"IMDS","Wasserstein",0.005,0.005,0.005,0.005,0.008,0.299,4,"minP"
"IMDS","Centers-Euclidean",1,0.975,0.957,0.167,0.87,0.992,4,"minP"
"Int-UMAP","Int-Euclidean",0.004,0.15,0.005,0.649,0.005,0.014,4,"minP"
"Int-UMAP","Hausdorff",0.004,0.995,0.005,1,0.005,1,4,"minP"
"Int-UMAP","Ichino-Yaguchi",0.004,0.004,0.005,0.043,0.005,1,4,"minP"
"Int-UMAP","Wasserstein",0.004,0.954,0.005,0.866,0.005,0.005,4,"minP"
"Int-UMAP","Centers-Euclidean",0.004,0.004,0.005,0.005,0.005,0.081,4,"minP"
"C-PCA","Int-Euclidean",0.001,0.032,0.001,0.009,0.001,0.001,5,"raw"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.002,0.001,0.001,5,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Int-Euclidean",0.001,0.043,0.001,0.02,0.001,0.001,5,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.002,0.001,0.001,5,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Int-Euclidean",0.001,0.04,0.001,0.009,0.001,0.001,5,"raw"
"SPCA","Hausdorff",0.001,0.002,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"IMDS","Int-Euclidean",0.153,0.249,0.343,0.48,0.829,0.392,5,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.479,5,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.576,5,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.005,0.039,5,"raw"
"IMDS","Centers-Euclidean",0.791,0.425,0.963,0.686,0.86,0.855,5,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.009,0.001,0.076,0.001,0.018,5,"raw"
"Int-UMAP","Hausdorff",0.001,0.179,0.001,0.811,0.001,0.001,5,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.033,0.001,0.009,0.001,0.001,5,"raw"
"Int-UMAP","Wasserstein",0.001,0.269,0.001,0.066,0.001,0.001,5,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.878,5,"raw"
"C-PCA","Int-Euclidean",0.002,0.204,0.003,0.059,0.001,0.001,5,"minP"
"C-PCA","Hausdorff",0.002,0.002,0.003,0.009,0.001,0.001,5,"minP"
"C-PCA","Ichino-Yaguchi",0.002,0.002,0.003,0.003,0.001,0.001,5,"minP"
"C-PCA","Wasserstein",0.002,0.002,0.003,0.003,0.001,0.001,5,"minP"
"C-PCA","Centers-Euclidean",0.002,0.002,0.003,0.003,0.001,0.001,5,"minP"
"V-PCA","Int-Euclidean",0.002,0.27,0.003,0.133,0.001,0.001,5,"minP"
"V-PCA","Hausdorff",0.002,0.002,0.003,0.009,0.001,0.001,5,"minP"
"V-PCA","Ichino-Yaguchi",0.002,0.002,0.003,0.003,0.001,0.001,5,"minP"
"V-PCA","Wasserstein",0.002,0.002,0.003,0.003,0.001,0.001,5,"minP"
"V-PCA","Centers-Euclidean",0.002,0.002,0.003,0.003,0.001,0.001,5,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
