"Method","Metric","index","old_mean_fmt","new_mean_fmt","old_sd_fmt","new_sd_fmt","mean_delta","replication_fidelity","display_changed"
"Int-UMAP","Wasserstein","B_TC","0.024","0.024","27","27",-2.5776215606399e-09,3.33066907387547e-16,FALSE
"Int-UMAP","Wasserstein","Q_RE","0.832","0.832","24","24",2.25458307578918e-09,3.33066907387547e-16,FALSE
"Int-UMAP","Wasserstein","B_RE","0.027","0.027","24","24",-5.42414055684781e-09,3.33066907387547e-16,FALSE
"Int-UMAP","Wasserstein","Q_LC","0.308","0.308","26","26",0,3.33066907387547e-16,FALSE
"Int-UMAP","Wasserstein","B_LC","0.001","0.001","13","13",5.33333333332768e-07,3.33066907387547e-16,FALSE
"MR-PCA","Centers-Euclidean","Q_TC","0.902","0.902","17","17",-2.46045694929364e-09,3.33066907387547e-16,FALSE
"MR-PCA","Centers-Euclidean","B_TC","0.080","0.080","17","17",-2.5776215606399e-09,3.33066907387547e-16,FALSE
"MR-PCA","Centers-Euclidean","Q_RE","0.897","0.897","16","16",-2.95140667461169e-09,3.33066907387547e-16,FALSE
"MR-PCA","Centers-Euclidean","B_RE","0.092","0.092","18","18",-9.83351916561404e-09,3.33066907387547e-16,FALSE
"MR-PCA","Centers-Euclidean","Q_LC","0.305","0.305","28","28",0,3.33066907387547e-16,FALSE
"MR-PCA","Centers-Euclidean","B_LC","0.061","0.061","11","11",-8.00000000002188e-07,3.33066907387547e-16,FALSE
"MR-PCA","Hausdorff","Q_TC","0.907","0.907","16","16",3.98359700781725e-09,3.33066907387547e-16,FALSE
"MR-PCA","Hausdorff","B_TC","0.071","0.071","15","15",-1.4059753916662e-09,3.33066907387547e-16,FALSE
"MR-PCA","Hausdorff","Q_RE","0.905","0.905","15","15",1.18363319145942e-10,3.33066907387547e-16,FALSE
"MR-PCA","Hausdorff","B_RE","0.078","0.078","15","15",-9.4988473059443e-09,3.33066907387547e-16,FALSE
"MR-PCA","Hausdorff","Q_LC","0.322","0.322","31","31",0,3.33066907387547e-16,FALSE
"MR-PCA","Hausdorff","B_LC","0.057","0.057","10","10",6.66666666662707e-08,3.33066907387547e-16,FALSE
"MR-PCA","Ichino-Yaguchi","Q_TC","0.903","0.903","16","16",-2.34329222692509e-10,4.44089209850063e-16,FALSE
"MR-PCA","Ichino-Yaguchi","B_TC","0.078","0.078","16","16",-4.2179261888764e-09,4.44089209850063e-16,FALSE
"MR-PCA","Ichino-Yaguchi","Q_RE","0.899","0.899","15","15",-1.07951941719087e-07,4.44089209850063e-16,FALSE
"MR-PCA","Ichino-Yaguchi","B_RE","0.087","0.087","16","16",2.14073934537429e-07,4.44089209850063e-16,FALSE
"MR-PCA","Ichino-Yaguchi","Q_LC","0.307","0.307","28","28",0,4.44089209850063e-16,FALSE
"MR-PCA","Ichino-Yaguchi","B_LC","0.058","0.058","10","10",6.66666666662707e-08,4.44089209850063e-16,FALSE
"MR-PCA","Int-Euclidean","Q_TC","0.900","0.900","16","16",-2.46045694929364e-09,4.44089209850063e-16,FALSE
"MR-PCA","Int-Euclidean","B_TC","0.081","0.081","17","17",-4.45225541156891e-09,4.44089209850063e-16,FALSE
"MR-PCA","Int-Euclidean","Q_RE","0.895","0.895","15","15",-3.29344751470728e-09,4.44089209850063e-16,FALSE
"MR-PCA","Int-Euclidean","B_RE","0.094","0.094","17","17",-1.14393300665316e-08,4.44089209850063e-16,FALSE
"MR-PCA","Int-Euclidean","Q_LC","0.299","0.299","26","26",0,4.44089209850063e-16,FALSE
"MR-PCA","Int-Euclidean","B_LC","0.059","0.059","10","10",-4.66666666670834e-07,4.44089209850063e-16,FALSE
"MR-PCA","Wasserstein","Q_TC","0.902","0.902","17","17",-1.52313994750131e-09,4.44089209850063e-16,FALSE
"MR-PCA","Wasserstein","B_TC","0.079","0.079","16","16",3.9835969523061e-09,4.44089209850063e-16,FALSE
"MR-PCA","Wasserstein","Q_RE","0.899","0.899","15","15",-2.60138288687983e-09,4.44089209850063e-16,FALSE
"MR-PCA","Wasserstein","B_RE","0.089","0.089","17","17",-7.14017822645019e-09,4.44089209850063e-16,FALSE
"MR-PCA","Wasserstein","Q_LC","0.307","0.307","28","28",0,4.44089209850063e-16,FALSE
"MR-PCA","Wasserstein","B_LC","0.059","0.059","11","11",-6.66666666662707e-08,4.44089209850063e-16,FALSE
"SPCA","Centers-Euclidean","Q_TC","0.902","0.902","17","17",7.02987701384217e-09,4.44089209850063e-16,FALSE
"SPCA","Centers-Euclidean","B_TC","0.080","0.080","17","17",7.4985354453494e-09,4.44089209850063e-16,FALSE
"SPCA","Centers-Euclidean","Q_RE","0.897","0.897","16","16",1.22247345579751e-09,4.44089209850063e-16,FALSE
"SPCA","Centers-Euclidean","B_RE","0.092","0.092","18","18",7.06096232871989e-09,4.44089209850063e-16,FALSE
"SPCA","Centers-Euclidean","Q_LC","0.305","0.305","28","28",0,4.44089209850063e-16,FALSE
"SPCA","Centers-Euclidean","B_LC","0.061","0.061","11","11",-4.00000000004563e-07,4.44089209850063e-16,FALSE
"SPCA","Hausdorff","Q_TC","0.920","0.920","14","14",-1.17164611346254e-10,3.33066907387547e-16,FALSE
"SPCA","Hausdorff","B_TC","0.063","0.063","13","13",4.9209138847095e-09,3.33066907387547e-16,FALSE
"SPCA","Hausdorff","Q_RE","0.917","0.917","13","13",-2.45200870718776e-09,3.33066907387547e-16,FALSE
"SPCA","Hausdorff","B_RE","0.071","0.071","15","15",3.91781011799264e-09,3.33066907387547e-16,FALSE
"SPCA","Hausdorff","Q_LC","0.358","0.358","28","28",0,3.33066907387547e-16,FALSE
"SPCA","Hausdorff","B_LC","0.064","0.064","10","10",-6.00000000003376e-07,3.33066907387547e-16,FALSE
"SPCA","Ichino-Yaguchi","Q_TC","0.908","0.908","15","15",5.86994728379864e-08,4.44089209850063e-16,FALSE
"SPCA","Ichino-Yaguchi","B_TC","0.070","0.070","15","15",-1.20679554765912e-07,4.44089209850063e-16,FALSE
"SPCA","Ichino-Yaguchi","Q_RE","0.905","0.905","14","14",4.47921449930888e-08,4.44089209850063e-16,FALSE
"SPCA","Ichino-Yaguchi","B_RE","0.080","0.080","16","16",-1.72171788770381e-08,4.44089209850063e-16,FALSE
"SPCA","Ichino-Yaguchi","Q_LC","0.323","0.323","27","27",-1.33333333318664e-07,4.44089209850063e-16,FALSE
"SPCA","Ichino-Yaguchi","B_LC","0.057","0.057","11","11",9.3333333332779e-07,4.44089209850063e-16,FALSE
"SPCA","Int-Euclidean","Q_TC","0.924","0.924","13","13",3.866432396471e-09,3.33066907387547e-16,FALSE
"SPCA","Int-Euclidean","B_TC","0.044","0.044","13","13",6.3268892763757e-09,3.33066907387547e-16,FALSE
"SPCA","Int-Euclidean","Q_RE","0.915","0.915","14","14",4.21686552343203e-09,3.33066907387547e-16,FALSE
"SPCA","Int-Euclidean","B_RE","0.060","0.060","16","16",2.23892408779403e-09,3.33066907387547e-16,FALSE
"SPCA","Int-Euclidean","Q_LC","0.352","0.352","29","29",0,3.33066907387547e-16,FALSE
"SPCA","Int-Euclidean","B_LC","0.053","0.053","10","10",1.33333333332541e-07,3.33066907387547e-16,FALSE
"SPCA","Wasserstein","Q_TC","0.907","0.907","15","15",3.04628000602492e-09,4.44089209850063e-16,FALSE
"SPCA","Wasserstein","B_TC","0.072","0.072","15","15",4.2179261888764e-09,4.44089209850063e-16,FALSE
"SPCA","Wasserstein","Q_RE","0.904","0.904","14","14",3.34579752792052e-09,4.44089209850063e-16,FALSE
