"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"MR-PCA","Int-Euclidean",20,0.947089947089947,-0.00705467372134039,0.917725597696904,0.00506388791640022,0.975925925925926,0.00555555555555554
"MR-PCA","Int-Euclidean",21,0.912345679012346,-0.00246913580246921,0.917487825161047,0.00511961179903667,0.970017636684303,0.00705467372134039
"MR-PCA","Int-Euclidean",22,0.864814814814815,0.0481481481481481,0.917541935030261,0.00498815781764861,0.968013468013468,0
"MR-PCA","Int-Euclidean",23,0.820987654320988,0.037037037037037,0.91777025839816,0.00495419423884354,0.972624798711755,0.00483091787439616
"MR-PCA","Int-Euclidean",24,0.783950617283951,0.037037037037037,0.917982550653837,0.00484865232608521,0.981481481481482,0.00771604938271608
"MR-PCA","Int-Euclidean",25,0.518518518518519,0,0.918575616108967,0.00491540609120616,0.980740740740741,0.0118518518518518
"SPCA","Int-Euclidean",1,0.960740740740741,0.0222222222222223,0.962250712250712,0.0213675213675214,0.740740740740741,0
"SPCA","Int-Euclidean",2,0.958234830575256,0.00157604412923562,0.957115009746589,0.0087719298245614,0.685185185185185,0.0185185185185185
"SPCA","Int-Euclidean",3,0.95959595959596,0.0145903479236812,0.952750544662309,0.0125272331154684,0.691358024691358,-0.0493827160493827
"SPCA","Int-Euclidean",4,0.967931345980126,0.00632339656729897,0.951097620799608,0.0103630120186412,0.694444444444444,0
"SPCA","Int-Euclidean",5,0.982261208576998,0.00428849902534112,0.949074074074074,0.0100833218880191,0.837037037037037,0.00740740740740742
"SPCA","Int-Euclidean",6,0.986243386243386,0.00352733686067019,0.947928936003141,0.0101535575622737,0.858024691358025,0.0123456790123457
"SPCA","Int-Euclidean",7,0.988260582010582,0.00231481481481477,0.9459139173303,0.0103487609175891,0.883597883597884,0.0211640211640212
"SPCA","Int-Euclidean",8,0.988026819923372,-0.00670498084291193,0.941948604178221,0.00793357338005148,0.921296296296296,0.0509259259259259
"SPCA","Int-Euclidean",9,0.983064260842039,0.00538144982589428,0.939506396939688,0.00926862344542505,0.925925925925926,0.037037037037037
"SPCA","Int-Euclidean",10,0.980515297906602,0.0086956521739131,0.938136667396657,0.0093879555445583,0.911111111111111,0.0333333333333333
"SPCA","Int-Euclidean",11,0.974579124579125,0.00505050505050508,0.935392853575993,0.0080143381963149,0.919191919191919,0.0269360269360269
"SPCA","Int-Euclidean",12,0.969317356572259,0.00544662309368193,0.933355075735539,0.00851170218832158,0.904320987654321,0.0308641975308642
"SPCA","Int-Euclidean",13,0.967236467236467,-0.000407000407000369,0.931371142678088,0.0082649765717849,0.905982905982906,0.0427350427350427
"SPCA","Int-Euclidean",14,0.968660968660969,0.0028490028490028,0.929776549902867,0.00834890250732287,0.923280423280423,0.037037037037037
"SPCA","Int-Euclidean",15,0.961560044893378,0.000561167227833836,0.927423456530049,0.0084094479566562,0.928395061728395,0.037037037037037
"SPCA","Int-Euclidean",16,0.95959595959596,0.00808080808080802,0.925392043323467,0.00826681476826367,0.946759259259259,0.025462962962963
"SPCA","Int-Euclidean",17,0.946913580246914,0.00576131687242809,0.924216518920272,0.00839186250109147,0.938997821350762,0.0239651416122004
"SPCA","Int-Euclidean",18,0.950617283950617,0.00205761316872421,0.923555553652714,0.00833378935529673,0.950617283950617,0.0246913580246914
"SPCA","Int-Euclidean",19,0.96031746031746,-0.00264550264550267,0.922927564814582,0.00811552490130313,0.970760233918129,0.0253411306042885
"SPCA","Int-Euclidean",20,0.95326278659612,-0.0123456790123456,0.922714228048014,0.00784265473916504,0.977777777777778,0.0240740740740741
"SPCA","Int-Euclidean",21,0.925925925925926,0.0148148148148148,0.922546296964829,0.00789703287473795,0.973544973544973,0.0194003527336861
"SPCA","Int-Euclidean",22,0.883333333333333,0.0481481481481482,0.922570511032209,0.00788665315341876,0.973063973063973,0.0202020202020202
"SPCA","Int-Euclidean",23,0.839506172839506,0.0493827160493827,0.922907482774342,0.00772371051165464,0.974235104669887,0.0241545893719807
"SPCA","Int-Euclidean",24,0.802469135802469,0.0246913580246915,0.923136161855907,0.0076069820431179,0.984567901234568,0.0277777777777777
"SPCA","Int-Euclidean",25,0.555555555555556,0,0.923834897503313,0.00763867938178289,0.982222222222222,0.0296296296296296
"IMDS","Int-Euclidean",1,0.517037037037037,0.103703703703704,0.535612535612536,0.0997150997150997,0.111111111111111,0
"IMDS","Int-Euclidean",2,0.516548463356974,0.0685579196217494,0.529970760233918,0.0774853801169591,0.0925925925925926,0.037037037037037
"IMDS","Int-Euclidean",3,0.528338945005612,0.05331088664422,0.530160675381264,0.0679466230936819,0.111111111111111,0.0493827160493827
"IMDS","Int-Euclidean",4,0.535456187895212,0.00677506775067749,0.52780843757665,0.0470321314692175,0.148148148148148,0.0462962962962963
"IMDS","Int-Euclidean",5,0.564912280701754,0.016374269005848,0.532338735521677,0.0467769994964062,0.222222222222222,0.0148148148148148
"IMDS","Int-Euclidean",6,0.578130511463845,0.0211640211640212,0.532723683636522,0.0475177769052916,0.246913580246914,0.0246913580246914
"IMDS","Int-Euclidean",7,0.592427248677249,0.0162037037037037,0.532645171581463,0.0436387549584363,0.285714285714286,0.00529100529100529
"IMDS","Int-Euclidean",8,0.602490421455939,0.0280970625798213,0.530520854425458,0.0453227571918642,0.328703703703704,-0.00462962962962962
"IMDS","Int-Euclidean",9,0.612535612535613,0,0.528185239929658,0.0398611795417024,0.382716049382716,0.0246913580246914
"IMDS","Int-Euclidean",10,0.611916264090177,-0.0193236714975845,0.522804602539417,0.0369578757860427,0.42962962962963,0.0444444444444445
"IMDS","Int-Euclidean",11,0.607070707070707,-0.00606060606060599,0.517869306505046,0.0391114996643731,0.468013468013468,0.037037037037037
"IMDS","Int-Euclidean",12,0.605664488017429,-0.00508351488743641,0.513480395593596,0.0393458872442506,0.509259259259259,0.0401234567901235
"IMDS","Int-Euclidean",13,0.575702075702076,-0.00854700854700852,0.505945811807912,0.0395210164921507,0.541310541310541,0.0398860398860399
