"Method","Metric","dr_input","eval_geom","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Hausdorff","std","std",0.927270458891013,0.12823316762269,0.926679414485973,0.131455283991333,0.46491,0.217055
"IMDS","Hausdorff","std","std",0.610544381771829,-0.0195633205863607,0.620928902073448,-0.0336445287277024,0.050125,-0.002
"Int-UMAP","Hausdorff","std","std",0.854907096876992,0.0207785149776928,0.909828356821075,0.0126163778465965,0.51509,-0.034045
"MR-PCA","Hausdorff","std","std",0.927255729764181,0.128093205863607,0.926673437215583,0.131258527220652,0.462975,0.212135
"SPCA","Hausdorff","std","std",0.927270458891013,0.12823316762269,0.926679414485973,0.131455283991333,0.46491,0.217055
"V-PCA","Hausdorff","std","std",0.927269751434034,0.128235780752071,0.926696825214043,0.131422541357311,0.464975,0.217085
"C-PCA","Ichino-Yaguchi","std","std",0.92760442319949,0.127666195028681,0.926970812761514,0.130983503665524,0.464995,0.219225
"IMDS","Ichino-Yaguchi","std","std",0.617972737412365,-0.0155403377947737,0.627419787919405,-0.0273564767431605,0.051245,-0.001975
"Int-UMAP","Ichino-Yaguchi","std","std",0.856534321223709,0.0207322498406628,0.911656251858437,0.0129900407316479,0.51997,-0.033475
"MR-PCA","Ichino-Yaguchi","std","std",0.927599034416826,0.12767442319949,0.926885049223947,0.131131111764496,0.46498,0.21866
"SPCA","Ichino-Yaguchi","std","std",0.92760442319949,0.127666195028681,0.926970812761514,0.130983503665524,0.464995,0.219225
"V-PCA","Ichino-Yaguchi","std","std",0.927600503505417,0.127675793499044,0.92699011243767,0.130947191996767,0.465065,0.219125
"C-PCA","Int-Euclidean","std","std",0.927741998087954,0.127216322498407,0.927038261596604,0.130727016635388,0.46233,0.21521
"IMDS","Int-Euclidean","std","std",0.575157944550669,-0.0592370490758445,0.580957060179321,-0.0704300004128438,0.03855,-0.002815
"Int-UMAP","Int-Euclidean","std","std",0.856449875717017,0.0212736456341619,0.911014479264067,0.0150135613135325,0.520215,-0.02536
"MR-PCA","Int-Euclidean","std","std",0.927783798597833,0.127502498406628,0.92712926162714,0.130863707856025,0.467415,0.2227
"SPCA","Int-Euclidean","std","std",0.927741998087954,0.127216322498407,0.927038261596604,0.130727016635388,0.46233,0.21521
"V-PCA","Int-Euclidean","std","std",0.927746864244742,0.127208616953474,0.927072534678454,0.130660558062473,0.462405,0.21518
"C-PCA","Wasserstein","std","std",0.927610949649458,0.127651166347992,0.926987224753023,0.130955960261907,0.46499,0.219025
"IMDS","Wasserstein","std","std",0.609529671765456,-0.0367083938814532,0.618490372900318,-0.0493008380388145,0.051485,-0.00197
"Int-UMAP","Wasserstein","std","std",0.855998017845762,0.020692810707457,0.911083915528403,0.0130298310018747,0.5189,-0.032385
"MR-PCA","Wasserstein","std","std",0.927610908221797,0.127650854047164,0.926967800993418,0.130990354902375,0.46502,0.218905
"SPCA","Wasserstein","std","std",0.927610949649458,0.127651166347992,0.926987224753023,0.130955960261907,0.46499,0.219025
"V-PCA","Wasserstein","std","std",0.927609783301466,0.127655092415551,0.927016213941633,0.130900521351787,0.465065,0.218955
