"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"SPCA","Int-Euclidean",9,0.998099212248035,0.000948141596061158,0.997598619008854,0.000679580578187915,0.818949181739879,0.032213608957795
"SPCA","Int-Euclidean",10,0.997971935398464,0.000974564530727529,0.997437428688668,0.000706876822178884,0.818914728682171,0.0382945736434109
"SPCA","Int-Euclidean",11,0.997967080073435,0.000932297347643218,0.997309434514726,0.000703917128151895,0.827766032417195,0.0407329105003524
"SPCA","Int-Euclidean",12,0.99786507214726,0.000955845505670072,0.997165630731812,0.0007217637058468,0.831782945736434,0.0436692506459949
"SPCA","Int-Euclidean",13,0.997775074537865,0.00108803816338698,0.99703069095885,0.000771762181750389,0.833035181872391,0.0456768038163387
"SPCA","Int-Euclidean",14,0.997687561998187,0.00108219860555703,0.996902268051092,0.000778087022961586,0.830343300110742,0.0462901439645626
"SPCA","Int-Euclidean",15,0.997594157381789,0.00116054737156956,0.996774524461107,0.000809915245855775,0.830284237726098,0.0469250645994832
"SPCA","Int-Euclidean",16,0.997540977206429,0.00113265121276285,0.996658390662134,0.000813708867900965,0.832170542635659,0.0488372093023256
"SPCA","Int-Euclidean",17,0.997484506069024,0.00116349053052489,0.996538264476829,0.000827080471422766,0.836388508891929,0.0472412220702234
"SPCA","Int-Euclidean",18,0.997438198955947,0.00113402169705712,0.996426463061172,0.000828576278766375,0.838845822566753,0.0477174849267872
"SPCA","Int-Euclidean",19,0.997374845676559,0.00114967651687359,0.996316705161748,0.00084389319281918,0.837372501019992,0.0483884128926969
"SPCA","Int-Euclidean",20,0.997323594527598,0.00113282999350328,0.996206276993709,0.000844203640550651,0.839147286821705,0.048139534883721
"SPCA","Int-Euclidean",21,0.997257043616921,0.00115691938598728,0.996097699560432,0.000853591816067858,0.838685861941676,0.0475452196382429
"SPCA","Int-Euclidean",22,0.997235048002319,0.00110980692471119,0.995999191979054,0.000857553433327342,0.840591966173362,0.0498942917547568
"SPCA","Int-Euclidean",23,0.997203169288402,0.00100239243702593,0.995902490566266,0.00083881319003832,0.841321199865184,0.0508257499157398
"SPCA","Int-Euclidean",24,0.997180075969417,0.00095938460101197,0.995809801690633,0.000834638370700984,0.841731266149871,0.0519379844961241
"SPCA","Int-Euclidean",25,0.997131961738375,0.000959350216466759,0.995710409216626,0.000835104385719123,0.842480620155039,0.0505426356589148
"IMDS","Int-Euclidean",1,0.544247531556295,0.0276923818824069,0.544955221724686,0.0276493812894217,0.00155038759689922,0
"IMDS","Int-Euclidean",2,0.504442108188778,-0.0391608814128707,0.518211832750934,-0.0168052375788248,0.00465116279069767,0.00155038759689922
"IMDS","Int-Euclidean",3,0.499809835271318,-0.0238024870801034,0.513059877416313,-0.0124767825619772,0.00671834625322997,0.0020671834625323
"IMDS","Int-Euclidean",4,0.501588934821803,-0.0208003253750008,0.512143849778316,-0.0123767362670368,0.00775193798449612,0.00116279069767442
"IMDS","Int-Euclidean",5,0.501121049493143,-0.0201735363197157,0.510820780153515,-0.0128215900759108,0.00806201550387597,0.000930232558139535
"IMDS","Int-Euclidean",6,0.498833448199448,-0.022628827938692,0.50903140011144,-0.0142967412445841,0.00981912144702842,0.000516795865633075
"IMDS","Int-Euclidean",7,0.496002983395691,-0.0205068279237453,0.507183832119862,-0.0139300530092573,0.0117386489479513,-0.0008859357696567
"IMDS","Int-Euclidean",8,0.495522260011643,-0.0193246928332873,0.50629170581815,-0.0137873024399685,0.0131782945736434,-0.000775193798449612
"IMDS","Int-Euclidean",9,0.495525334054063,-0.0148721455764539,0.505669002301499,-0.0124356859603066,0.0137812230835487,0
