"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,4,"raw"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.896,4,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.311,4,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.26,4,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.318,4,"raw"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.003,4,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.002,0.001,0.024,0.001,0.001,4,"raw"
